Site,Date,Chl_mean,Dominant,Chl_min,Chl_max
BB,2011-07-25,16.929258098117092,Bacillariophyta,9.412578506677187,30.069602868516025
BB,2011-08-09,4.956126745036714,Bacillariophyta,2.7790765012039884,8.71372149841521
BB,2011-08-16,3.201254772292482,Cyanobacteria,1.8048125380495101,5.356636187513152
BB,2011-08-24,2.0120602963692913,Chrysophyta,1.1635817745347496,3.3506803077617437
BB,2011-08-31,4.190011788445167,Chrysophyta,2.401442827458519,6.951421806798028
BB,2011-09-07,1.8921101775623932,Cyanobacteria,1.082400759524392,3.040591281657253
BB,2011-09-13,1.3455602222083236,Cyanobacteria,0.7636109666388273,2.163650671261369
BB,2012-05-07,8.437637415210544,Bacillariophyta,4.695939347882145,14.966987752290326
BB,2012-05-08,0.13200098321043932,Bacillariophyta,0.07316956978431163,0.23309730252707056
BB,2012-05-15,0.039522641381133615,Bacillariophyta,0.02204661313188652,0.06990411299698839
BB,2012-05-29,0.8131526171906961,Cyanobacteria,0.4475152185817269,1.36338245181831
BB,2012-06-05,2.936394673871164,Cyanobacteria,1.5920636856006796,4.725872427835633
BB,2012-06-18,1.57104831834291,Cyanobacteria,0.9456299483698855,2.526701202455593
BB,2012-06-26,1.456940093905215,Chlorophyta,0.9138695660566607,2.337967391183623
BB,2012-07-02,0.20575910956502105,Cryptophyta,0.12684172161603022,0.3255053279448178
BB,2012-07-09,0.6073360661926477,Cryptophyta,0.37513065268715806,0.9442989210737764
BB,2012-07-17,9.032878130350777,Bacillariophyta,5.02236398713838,16.040961292800993
BB,2012-07-24,3.786492722874846,Bacillariophyta,2.1344961624215535,6.647753748993242
BB,2012-07-31,1.9463224073569754,Cyanobacteria,1.0671729531686391,3.3122790378815195
BB,2012-08-07,2.0669982922544556,Chrysophyta,1.2282866868479336,3.341626478068076
BB,2012-08-14,0.8736169278433787,Cyanobacteria,0.5101903814615983,1.4083222005419302
BB,2012-08-21,0.7913767014098615,Cyanobacteria,0.4622161262165422,1.298434779008433
BB,2012-09-06,1.810279054754781,Cyanobacteria,1.0247260224081172,2.9176837725017655
BB,2012-09-11,1.5552359014091361,Cyanobacteria,0.9030939849859289,2.5172612586033276
BB,2013-04-30,0.07668400213084851,Bacillariophyta,0.04309455407100941,0.13350821302851879
BB,2013-05-07,0.4389327605343022,Bacillariophyta,0.24662460302845415,0.7714847242601403
BB,2013-06-03,0.0032621643837128897,Cyanobacteria,0.001812888332862565,0.005377086021442186
BB,2013-06-06,0.022288209231617975,Bacillariophyta,0.013478532386848412,0.036415666720657346
BB,2013-06-11,0.05733118525445654,Bacillariophyta,0.03210063448739326,0.10111161560226045
BB,2013-06-18,0.20549006731661792,Bacillariophyta,0.11459236898011703,0.36428426920597634
BB,2013-07-02,0.37958937105474244,Chlorophyta,0.2458156190241402,0.6131659516064719
BB,2013-07-30,0.956108291968979,Pyrrophyta,0.5433461027312066,1.589423754558732
BB,2013-08-27,0.6029771729327092,Bacillariophyta,0.34823462812649864,1.0411364237524843
BB,2014-09-09,0.6158313192130849,Cyanobacteria,0.34979248412785746,1.0182741173200027
BB,2014-10-07,0.25783864880811064,Cyanobacteria,0.1548538893276962,0.4198471714235506
BB,2015-07-21,2.6405238298887084,Bacillariophyta,1.5124274449443431,4.546298408773062
BB,2016-04-12,0.46412243217897214,Bacillariophyta,0.2758812883679094,0.759396651084065
BB,2016-04-26,1.213729788430533,Chrysophyta,0.7032029895766504,2.059859765287561
BB,2016-05-17,0.8659115744677014,Bacillariophyta,0.5220770040567427,1.4505876683928125
BB,2017-09-19,0.5218549091789799,Cryptophyta,0.31519125477880783,0.8303671892540743
BB,2017-09-26,0.7196768245028494,Bacillariophyta,0.40036239162198617,1.2755820555194297
BB,2020-04-07,0.2800181800791893,Bacillariophyta,0.15739526233583145,0.4945473249283638
BB,2020-04-17,0.23113045183680128,Bacillariophyta,0.13173559599893453,0.4008567468788065
BB,2021-03-26,1.565981986005496,Bacillariophyta,0.8876977416816225,2.6430354449846445
BB,2021-05-25,5.854083616277854,Cryptophyta,3.449144956633848,9.356812845263429
BCD,2012-04-17,1.2814782871318968,Bacillariophyta,0.7287883643954465,2.2316589685510895
BCD,2012-05-08,0.6811260367597961,Bacillariophyta,0.37915786950645963,1.1892912311541681
BCD,2012-05-15,0.5929131083382803,Bacillariophyta,0.34396159507465685,1.01643475443972
BCD,2012-06-26,1.722692557984767,Bacillariophyta,1.034161067972789,2.840891546839255
BCR,2014-06-05,1.8871214317631024,Cyanobacteria,1.1156765136124986,3.039713094862875
BCR,2018-06-15,0.9264693524819916,Bacillariophyta,0.5174562232762975,1.6340185841749224
BCR,2018-06-17,0.7687098910334417,Bacillariophyta,0.4358692402174368,1.3440965173792345
BCR,2018-06-19,0.5314175288983213,Bacillariophyta,0.30164433847777705,0.9260569097319378
BCR,2018-06-21,3.1593105596247275,Cyanobacteria,1.7619075908969062,5.081768067499014
BCR,2018-06-22,5.098184868729903,Cyanobacteria,2.8556068316334127,8.127245672962308
BCR,2018-06-23,14.57571927229214,Cyanobacteria,8.306056495972728,23.53256301692804
BCR,2018-06-24,12.674102779052243,Cyanobacteria,6.983374350367053,21.44346476073111
BCR,2018-06-25,17.03176644726342,Bacillariophyta,9.489218788916144,28.834703935731415
BCR,2018-06-27,14.20035886519053,Cyanobacteria,7.819667144172105,23.7610483536896
BCR,2018-06-28,2.078337537157676,Cyanobacteria,1.1354426221776508,3.3428445966448512
BCR,2018-06-29,40.498337745876825,Bacillariophyta,22.42126605000018,71.07314656289834
BCR,2018-06-30,15.198296560561808,Bacillariophyta,8.408645979158873,26.314128974263532
BCR,2018-07-01,4.6714149537618335,Cyanobacteria,2.603362203476107,7.668752530450432
BCR,2018-07-02,27.286872572397687,Bacillariophyta,15.014865331603762,46.768861104312265
BCR,2018-07-03,13.977128049508849,Bacillariophyta,7.734301993762288,24.141316498907265
BCR,2018-07-04,13.593314765403505,Cyanobacteria,7.482271490439504,23.132161089937373
BCR,2018-07-05,25.946945120535517,Bacillariophyta,14.321086501515003,44.95696051327629
BCR,2018-07-06,21.846231905617817,Bacillariophyta,12.042335899666751,37.74433213538586
BCR,2018-07-09,24.86471546511216,Bacillariophyta,13.827262034089758,42.641840511639614
BCR,2018-07-13,24.883953573880728,Bacillariophyta,13.84719581967696,42.95169777156975
BCR,2018-07-16,19.836769735099796,Bacillariophyta,10.94944599590421,33.792813513655645
BCR,2018-07-18,45.58360284081502,Bacillariophyta,25.14550223226859,79.12316669175551
BCR,2018-07-24,40.95250634078327,Bacillariophyta,22.70374196851545,72.04031337021351
BCR,2018-07-26,40.38593596418004,Bacillariophyta,22.52221355464661,71.23891396702447
BCR,2018-07-31,44.33125615488387,Bacillariophyta,24.657168567191746,78.45614310583852
BCR,2018-08-02,47.495092788662,Bacillariophyta,26.433390034537524,84.13722052088227
BCR,2018-08-07,13.790137800144118,Bacillariophyta,7.6843577034110035,24.31462566376523
BCR,2018-08-09,5.673001833757734,Bacillariophyta,3.200888101673536,9.779639653925122
BCR,2018-08-14,1.3562963784194055,Bacillariophyta,0.7546514614598168,2.407478859946214
BCR,2018-08-16,3.8918916468618816,Bacillariophyta,2.2625337946633923,6.52733264373305
BCR,2018-08-21,1.9542508999278456,Bacillariophyta,1.1025268321294102,3.4331636014913953
BCR,2018-08-29,2.8573767756496844,Bacillariophyta,1.5965400304795587,5.049807968340697
BCR,2018-09-04,1.874862424251182,Bacillariophyta,1.041590235695101,3.3330887542243235
BCR,2018-09-11,2.748342317423385,Bacillariophyta,1.5309340288477293,4.876387868174992
BCR,2018-09-19,1.2549837167379039,Bacillariophyta,0.6978088925330457,2.229141610093905
BCR,2018-09-26,8.654124578923456,Bacillariophyta,4.831638900119247,15.286905416194472
BCR,2018-10-02,5.469386590879123,Bacillariophyta,3.045589108874974,9.705703466740832
BCR,2018-10-09,0.7994897592194457,Bacillariophyta,0.4448076798527183,1.4193788222244128
BCR,2018-10-16,0.737227590526185,Bacillariophyta,0.4114809322207842,1.3067949762666542
BCR,2018-10-23,1.2851526345162003,Bacillariophyta,0.7163525748458676,2.275193018945581
BCR,2018-10-29,0.5497189145726041,Bacillariophyta,0.30826514583125586,0.9702908870799264
BCR,2018-11-05,0.6918277376667391,Bacillariophyta,0.38697446301412763,1.2248286370706933
BCR,2018-11-13,0.8167612533576594,Bacillariophyta,0.45702631629393003,1.438377731327428
BCR,2018-11-19,1.30636808711999,Bacillariophyta,0.7342538663463756,2.286596746630148
BCR,2018-11-27,0.7217522904712027,Bacillariophyta,0.4089331942811918,1.2536486959197324
BCR,2018-12-04,31.225885822160787,Bacillariophyta,17.392739919136815,55.10109855894337
BCR,2018-12-18,1.017627350737015,Bacillariophyta,0.5679888030529545,1.8012059258935365
BCR,2018-12-31,2.555890793442594,Bacillariophyta,1.4290550246802378,4.511801136131165
BCR,2019-01-15,1.6956537019888178,Cryptophyta,1.0136890398687874,2.7281584982699725
BCR,2019-01-29,3.9804910222440517,Cryptophyta,2.3825554656287924,6.3949383079696895
BCR,2019-02-12,3.8165722530275876,Bacillariophyta,2.138888131824378,6.713453499041194
BCR,2019-03-05,30.623847061630787,Bacillariophyta,17.228381539226476,53.38817322502679
