sensor,model_type,equation,r2,rmse,mae,n_points,param_1,param_2,param_3
sentinel,power,Chl = 8019231.777 * x^34.698 + 16.274,0.011076659762252361,14.231772963322559,9.418281869964321,1139,8019231.776958208,34.69823862666534,16.27393082521796
modis_aqua,power,Chl = -14495.160 * x^0.000 + 14520.609,0.008427434431003578,13.831867599078418,9.128527822106907,1176,-14495.160493878317,0.0001634632335870205,14520.609299387776
modis_terra,power,Chl = -755.141 * x^0.003 + 778.658,0.006331981984132762,13.615155205026971,8.992736888045757,1234,-755.140996567754,0.0025938688873510477,778.6583635868056
