date,raw_value,calibrated_chl,sensor,initial_chl
2018-07-07,0.6311253788327458,43.816866337100244,Sentinel-2,145.7917490509338
2019-01-25,0.0375176386485738,39.06047138950568,Sentinel-2,17.543358116209507
2019-01-25,0.0421356044840342,39.06742044887114,Sentinel-2,18.01251396617689
2019-01-30,0.0276701842933812,39.04642866621533,Sentinel-2,16.570600738304602
2019-01-30,0.0114098548864096,39.025445931966736,Sentinel-2,15.046857812574046
2019-02-14,0.2323391430936462,39.621064443996794,Sentinel-2,44.53683590588575
2019-02-14,0.1681933766811678,39.36655230234353,Sentinel-2,34.02023488191173
2019-02-17,0.0299609559731005,39.049602843272815,Sentinel-2,16.79352528602795
2019-02-17,0.0184167786431602,39.03416111863645,Sentinel-2,15.690871606324492
2019-03-29,0.0090918981776825,39.02266855991936,Sentinel-2,14.83801222374001
2019-05-08,0.004636253583412,39.017474084085194,Sentinel-2,14.442427963535096
2019-05-08,0.0066822829372826,39.019836001944,Sentinel-2,14.623121970957556
2019-05-20,0.0034431450050451,39.016114926720775,Sentinel-2,14.337810203084903
2019-05-20,0.0023899162324025,39.01492615186494,Sentinel-2,14.245917562377704
2019-05-20,0.0002657040974538,39.01255981224636,Sentinel-2,14.061894827438277
2019-05-23,0.0081573774975476,39.021563433105854,Sentinel-2,14.754403494295468
2019-05-25,0.0368414583087001,39.059473643329525,Sentinel-2,17.475358154255527
2019-05-25,0.0281807166520383,39.04713129020672,Sentinel-2,16.62010615560572
2019-05-28,0.0525582733163427,39.083990191669955,Sentinel-2,19.101853663802505
2019-05-28,0.0545032143253389,39.087221551286085,Sentinel-2,19.309806218875398
2019-05-30,0.0763944354814809,39.12676523375156,Sentinel-2,21.751808843035427
2019-05-30,0.063833617518977,39.10335181267477,Sentinel-2,20.327854020890964
2019-06-07,0.0253184023231128,39.043227218655026,Sentinel-2,16.343860718302953
2019-06-07,0.0262541125912734,39.044494077872194,Sentinel-2,16.433816936309913
2019-06-09,0.0182932442127327,39.03400324627146,Sentinel-2,15.679352184346596
