datetime,sensor,band1_red,band2_nir,band4_green,green_red_ratio,ndci,nir_red_ratio
2011-01-03,Aqua,0.12000000000000001,0.2864,0.129,1.0674772036474165,0.427726561141068,2.4948328267477207
2011-01-06,Aqua,0.032600000000000004,0.1222,0.0412,1.263803680981595,0.578811369509044,3.7484662576687113
2011-01-20,Aqua,0.057600000000000005,0.1252,0.0683,1.191904047976012,0.5020995800839831,3.016867469879518
2011-01-22,Aqua,0.0438,0.14400000000000002,0.057800000000000004,1.2951807228915664,0.5335463258785943,3.287671232876713
2011-01-27,Aqua,0.037200000000000004,0.0999,0.053700000000000005,1.4435483870967742,0.4070422535211267,2.3729216152019
2011-01-30,Aqua,0.048600000000000004,0.1607,0.0634,1.3045267489711934,0.535594839942666,3.3065843621399176
2011-02-01,Aqua,0.058100000000000006,0.0756,0.0673,1.1610738255033557,0.24342105263157895,1.6434782608695653
2011-02-02,Aqua,0.07830000000000001,0.28190000000000004,0.0892,1.1392081736909323,0.5652415324819544,3.6002554278416348
2011-02-09,Aqua,0.035,0.13720000000000002,0.0408,1.1657142857142857,0.5934959349593496,3.92
2011-02-10,Aqua,0.0594,0.08460000000000001,0.0757,1.2744107744107744,0.17500000000000002,1.4242424242424243
2011-04-12,Aqua,0.0182,0.0985,0.0323,1.7747252747252749,0.6880891173950301,5.412087912087912
2011-04-22,Aqua,0.0239,0.1038,0.0392,1.6401673640167362,0.6413340623291417,4.576219512195122
2011-05-01,Aqua,0.0317,0.0839,0.0431,1.359621451104101,0.4515570934256055,2.6466876971608833
2011-05-04,Aqua,0.0296,0.1336,0.0449,1.5168918918918919,0.6372549019607843,4.513513513513513
2011-05-10,Aqua,0.0473,0.0859,0.054900000000000004,1.160676532769556,0.28978978978978975,1.8160676532769555
2011-05-19,Aqua,0.0431,0.07730000000000001,0.052500000000000005,1.2180974477958237,0.28405315614617943,1.7935034802784224
2011-05-20,Aqua,0.029,0.13520000000000001,0.042100000000000005,1.4517241379310346,0.6467722289890379,4.662068965517242
2011-05-24,Aqua,0.0224,0.0825,0.0329,1.4409090909090907,0.5729265967588179,3.6830357142857144
2011-06-03,Aqua,0.0213,0.1428,0.0318,1.4929577464788735,0.7404021937842779,6.704225352112677
2011-06-09,Aqua,0.024800000000000003,0.10400000000000001,0.0376,1.5167464114832534,0.6282051282051282,4.379310344827586
2011-06-14,Aqua,0.0221,0.10490000000000001,0.0381,1.7239819004524886,0.651968503937008,4.746606334841629
2011-06-16,Aqua,0.034800000000000005,0.1729,0.047400000000000005,1.4763092269326683,0.6649012999518537,4.968390804597701
2011-06-17,Aqua,0.0125,0.10360000000000001,0.0238,1.9040000000000001,0.7846683893195522,8.288
2011-06-25,Aqua,0.0302,0.2209,0.0483,1.5496688741721854,0.7235093049753133,6.233516483516484
2011-07-01,Aqua,0.0162,0.12040000000000001,0.031100000000000003,1.9602272727272727,0.7758112094395281,7.921052631578948
2011-07-02,Aqua,0.024900000000000002,0.0675,0.0436,1.7510040160642568,0.46103896103896097,2.710843373493976
2011-07-03,Aqua,0.013800000000000002,0.14450000000000002,0.030600000000000002,2.217391304347826,0.8256475047378394,10.471014492753623
2011-07-04,Aqua,0.0533,0.0876,0.0656,1.2307692307692308,0.1983584131326949,1.4948805460750851
2011-07-05,Aqua,0.0275,0.2159,0.048,1.7454545454545456,0.7740345110928513,7.8509090909090915
2011-07-06,Aqua,0.0239,0.1893,0.0425,1.778242677824268,0.775797373358349,7.920502092050208
2011-07-08,Aqua,0.0184,0.0916,0.0328,1.7127071823204418,0.6700091157702825,5.060773480662983
2011-07-09,Aqua,0.029400000000000003,0.2119,0.048400000000000006,1.649390243902439,0.756319933692499,7.207482993197279
2011-07-10,Aqua,0.0112,0.1273,0.024300000000000002,2.169642857142857,0.8382671480144405,11.366071428571429
2011-07-15,Aqua,0.0269,0.10990000000000001,0.0395,1.4684014869888475,0.6067251461988306,4.08550185873606
