datetime,sensor,band1_red,band2_nir,band4_green,green_red_ratio,ndci,nir_red_ratio
2011-01-23,Terra,0.049100000000000005,0.0821,0.046400000000000004,0.945010183299389,0.3236914600550964,1.9572301425661913
2011-01-24,Terra,0.0568,0.0697,0.058600000000000006,1.0316901408450705,0.10197628458498019,1.227112676056338
2011-01-27,Terra,0.0891,0.0227,0.09090000000000001,1.0202020202020203,-0.59391771019678,0.2547699214365881
2011-01-29,Terra,0.0902,0.0553,0.0981,1.0875831485587584,-0.23986254295532644,0.6130820399113082
2011-02-01,Terra,0.0671,0.0357,0.0766,1.1668711656441717,-0.30544747081712065,0.5320417287630402
2011-02-09,Terra,0.0446,0.1023,0.0585,1.342789598108747,0.41493775933609955,2.4184397163120566
2011-02-21,Terra,0.0494,0.0172,0.0697,1.4109311740890689,-0.4834834834834835,0.3481781376518219
2011-02-25,Terra,0.0826,0.1807,0.10110000000000001,1.2239709443099274,0.37257880744398025,2.187651331719128
2011-04-01,Terra,0.0558,0.0181,0.0738,1.2549019607843137,-0.5364916773367479,0.3016666666666667
2011-04-05,Terra,0.049,0.0264,0.0702,1.418181818181818,-0.3043478260869566,0.5333333333333333
2011-04-12,Terra,0.035,0.0373,0.056400000000000006,1.6114285714285714,0.03181189488243425,1.0657142857142856
2011-04-19,Terra,0.046900000000000004,0.0302,0.0697,1.486140724946695,-0.21660181582360574,0.6439232409381663
2011-04-22,Terra,0.0366,0.0253,0.0632,1.7267759562841531,-0.18518518518518517,0.6875
2011-04-23,Terra,0.0454,0.0673,0.06860000000000001,1.5110132158590308,0.19432120674356695,1.4823788546255505
2011-05-01,Terra,0.0316,0.031900000000000005,0.0538,1.5962566844919786,-0.07936507936507933,0.8529411764705883
2011-05-03,Terra,0.030000000000000002,0.0497,0.0398,1.3266666666666667,0.247176913425345,1.6566666666666665
2011-05-04,Terra,0.0304,0.061900000000000004,0.049800000000000004,1.6181818181818182,0.3412784398699891,2.036184210526316
2011-05-13,Terra,0.0332,0.09530000000000001,0.0485,1.4608433734939759,0.48326848249027243,2.8704819277108435
2011-05-19,Terra,0.0308,0.0383,0.0509,1.5941558441558443,0.05384615384615387,1.113821138211382
2011-05-20,Terra,0.019700000000000002,0.0592,0.039400000000000004,2.0,0.5006337135614702,3.0050761421319794
2011-05-24,Terra,0.0189,0.0292,0.041100000000000005,2.174603174603175,0.24786324786324784,1.659090909090909
2011-06-03,Terra,0.025500000000000002,0.0346,0.0459,1.8,0.15141430948419296,1.356862745098039
2011-06-09,Terra,0.028,0.0613,0.0472,1.6615384615384614,0.4717887154861945,2.786363636363636
2011-06-17,Terra,0.0219,0.0629,0.0403,1.8401826484018267,0.48349056603773577,2.872146118721461
2011-06-20,Terra,0.029400000000000003,0.10990000000000001,0.0487,1.6564625850340136,0.577889447236181,3.738095238095238
2011-06-25,Terra,0.032,0.0553,0.0441,1.378125,0.23437499999999994,1.6122448979591835
2011-07-01,Terra,0.012700000000000001,0.0199,0.028900000000000002,2.267716535433071,0.22085889570552145,1.5669291338582676
2011-07-02,Terra,0.0172,0.037000000000000005,0.034,1.8953488372093026,0.27366609294320143,1.7535545023696684
2011-07-03,Terra,0.0204,0.0536,0.0437,2.142156862745098,0.4486486486486486,2.627450980392157
2011-07-05,Terra,0.0221,0.0475,0.0451,2.0407239819004523,0.3808139534883721,2.2300469483568075
2011-07-06,Terra,0.028,0.031200000000000002,0.0454,1.5999999999999999,0.0922787193973635,1.203319502074689
2011-07-08,Terra,0.0167,0.043500000000000004,0.0324,1.9401197604790419,0.4451827242524917,2.604790419161677
2011-07-09,Terra,0.0164,0.0694,0.029500000000000002,1.798780487804878,0.5906040268456376,3.885245901639344
2011-07-10,Terra,0.015000000000000001,0.062400000000000004,0.0317,2.0977443609022557,0.6060606060606061,4.076923076923077
2011-07-14,Terra,0.021400000000000002,0.0506,0.0373,1.7429906542056073,0.40555555555555545,2.3644859813084107
2011-07-15,Terra,0.0109,0.0263,0.02,1.834862385321101,0.41397849462365593,2.4128440366972477
2011-07-22,Terra,0.015700000000000002,0.030500000000000003,0.024900000000000002,1.5859872611464967,0.30376940133037694,1.8726114649681527
2011-07-23,Terra,0.0112,0.0519,0.0219,1.9553571428571428,0.6504854368932038,4.722222222222222
2011-07-24,Terra,0.019200000000000002,0.11040000000000001,0.0309,1.6093749999999998,0.7037037037037036,5.75
2011-07-26,Terra,0.0194,0.049800000000000004,0.0346,1.7835051546391751,0.4393063583815029,2.5670103092783507
2011-07-28,Terra,0.0129,0.0297,0.0264,2.046511627906977,0.3943661971830987,2.302325581395349
2011-07-29,Terra,0.0296,0.037700000000000004,0.039400000000000004,1.3163636363636364,0.13201820940819423,1.3041958041958042
2011-07-30,Terra,0.0189,0.0656,0.0342,1.8095238095238095,0.5526627218934912,3.470899470899471
2011-07-31,Terra,0.0114,0.016800000000000002,0.0218,1.9814814814814816,0.20769230769230776,1.5242718446601944
2011-08-01,Terra,0.0119,0.0601,0.0219,1.8403361344537814,0.6694444444444444,5.050420168067227
2011-08-02,Terra,0.014,0.049800000000000004,0.0253,1.8071428571428572,0.5611285266457681,3.5571428571428574
2011-08-03,Terra,0.0164,0.0378,0.0269,1.6402439024390243,0.3974121996303142,2.3190184049079754
