datetime,sensor,band1_red,band2_nir,band4_green,green_red_ratio,ndci,nir_red_ratio
2011-01-06,Terra,0.2378,0.24960000000000002,0.2511,1.0559293523969722,0.024210094378334025,1.0496215306980656
2011-01-20,Terra,0.0393,0.0333,0.056,1.3258426966292134,-0.2127659574468085,0.6491228070175439
2011-01-22,Terra,0.0502,0.0529,0.0596,1.1872509960159363,0.026188166828322028,1.0537848605577689
2011-01-27,Terra,0.0286,0.0468,0.0468,1.1901408450704225,0.0469798657718121,1.0985915492957747
2011-02-01,Terra,0.0596,0.0591,0.0636,1.1744966442953022,-0.004212299915754006,0.9916107382550335
2011-02-02,Terra,0.08600000000000001,0.1472,0.0872,1.0513112884834663,0.25329927628778204,1.6784492588369442
2011-02-10,Terra,0.054200000000000005,0.0821,0.057800000000000004,1.169741697416974,0.1721194879089616,1.4158075601374571
2011-02-21,Terra,0.446,0.4822,0.4454,0.9986547085201793,0.03900021547080371,1.0811659192825112
2011-04-01,Terra,0.018600000000000002,0.0369,0.0342,1.7538461538461538,0.30851063829787234,1.8923076923076925
2011-04-12,Terra,0.025500000000000002,0.0594,0.0417,1.6352941176470588,0.3992932862190813,2.329411764705882
2011-04-19,Terra,0.0154,0.015600000000000001,0.033800000000000004,2.1948051948051948,0.006451612903225824,1.012987012987013
2011-04-22,Terra,0.0199,0.020800000000000003,0.0366,1.8391959798994975,0.02211302211302215,1.0452261306532664
2011-04-23,Terra,0.023700000000000002,0.07490000000000001,0.041100000000000005,1.7341772151898733,0.5192697768762679,3.160337552742616
2011-05-01,Terra,0.0188,0.047,0.0309,1.6436170212765957,0.4285714285714286,2.5
2011-05-04,Terra,0.014700000000000001,0.06280000000000001,0.0257,1.8098591549295775,0.6311688311688312,4.422535211267606
2011-05-10,Terra,0.027600000000000003,0.051000000000000004,0.038700000000000005,1.4021739130434783,0.29770992366412213,1.8478260869565217
2011-05-12,Terra,0.0451,0.2786,0.0584,1.29490022172949,0.7213469261662033,6.177383592017739
2011-05-13,Terra,0.0238,0.06810000000000001,0.0345,1.449579831932773,0.4820457018498368,2.861344537815126
2011-05-19,Terra,0.0222,0.0264,0.0334,1.4504504504504503,0.08641975308641972,1.189189189189189
2011-05-20,Terra,0.0094,0.114,0.0176,1.872340425531915,0.8476499189627228,12.127659574468085
2011-05-24,Terra,0.013000000000000001,0.063,0.0244,1.876923076923077,0.6578947368421053,4.846153846153846
2011-06-03,Terra,0.020800000000000003,0.1605,0.0339,1.6555023923444974,0.7705460562603419,7.716346153846153
2011-06-09,Terra,0.0213,0.0327,0.031400000000000004,1.4741784037558687,0.15692307692307692,1.3722627737226278
2011-06-14,Terra,0.0091,0.0858,0.0193,2.120879120879121,0.8082191780821918,9.428571428571429
2011-06-16,Terra,0.0172,0.0834,0.0279,1.6395348837209305,0.6580516898608351,4.848837209302325
2011-06-17,Terra,0.0152,0.0539,0.0287,1.888157894736842,0.5600578871201157,3.546052631578948
2011-06-20,Terra,0.0309,0.0364,0.0434,1.4045307443365695,0.08172362555720657,1.1779935275080906
2011-06-22,Terra,0.0252,0.0432,0.0415,1.646825396825397,0.26315789473684215,1.7142857142857144
2011-06-25,Terra,0.0325,0.0463,0.0519,1.4984615384615385,0.09585798816568042,1.2120418848167538
2011-07-01,Terra,0.0218,0.0264,0.04,1.834862385321101,0.0954356846473029,1.2110091743119267
2011-07-02,Terra,0.027,0.0385,0.0437,1.6185185185185187,0.17557251908396945,1.4259259259259258
2011-07-03,Terra,0.0224,0.0609,0.040600000000000004,1.8125000000000002,0.4621848739495799,2.71875
2011-07-04,Terra,0.0251,0.16490000000000002,0.037200000000000004,1.4820717131474104,0.7357894736842104,6.569721115537849
2011-07-05,Terra,0.018500000000000003,0.06420000000000001,0.0347,1.8756756756756756,0.5525997581620314,3.4702702702702704
2011-07-06,Terra,0.0367,0.07400000000000001,0.0489,1.3324250681198908,0.3369467028003613,2.016348773841962
2011-07-08,Terra,0.0143,0.040100000000000004,0.025400000000000002,1.7762237762237765,0.474264705882353,2.8041958041958046
2011-07-09,Terra,0.0152,0.044500000000000005,0.0263,1.730263157894737,0.49078726968174213,2.9276315789473686
2011-07-10,Terra,0.0182,0.10790000000000001,0.0316,1.7362637362637363,0.7113402061855669,5.928571428571429
2011-07-15,Terra,0.0095,0.017,0.0175,1.842105263157895,0.28301886792452835,1.7894736842105265
2011-07-22,Terra,0.0258,0.042100000000000005,0.0357,1.3972602739726028,0.25762711864406784,1.6940639269406395
2011-07-23,Terra,0.009000000000000001,0.0936,0.019200000000000002,2.1333333333333333,0.824561403508772,10.399999999999999
2011-07-24,Terra,0.0134,0.031400000000000004,0.026000000000000002,1.9048004626951995,0.4017857142857143,2.3432835820895526
2011-07-26,Terra,0.0366,0.2399,0.056600000000000004,1.5464480874316942,0.7352622061482821,6.554644808743169
2011-07-27,Terra,0.028300000000000002,0.058800000000000005,0.04,1.4134275618374557,0.3501722158438576,2.07773851590106
2011-07-28,Terra,0.013900000000000001,0.0285,0.028300000000000002,2.035971223021583,0.3443396226415094,2.050359712230216
2011-07-29,Terra,0.0149,0.18230000000000002,0.0268,1.7986577181208054,0.8488843813387424,12.234899328859061
2011-07-30,Terra,0.0094,0.1448,0.0205,2.1808510638297873,0.8780804150453957,15.404255319148938
2011-07-31,Terra,0.011600000000000001,0.012700000000000001,0.0247,2.129310344827586,0.06363636363636364,1.1359223300970873
2011-08-01,Terra,0.0098,0.1041,0.0216,2.2040816326530615,0.8279192273924495,10.622448979591837
2011-08-02,Terra,0.01645,0.08145000000000001,0.03135,1.9154176395270017,0.6187836243568845,4.596040528887611
2011-08-03,Terra,0.0122,0.039400000000000004,0.025900000000000003,1.9699248120300752,0.49525616698292224,2.962406015037594
2011-08-04,Terra,0.016300000000000002,0.0414,0.0322,1.9496855345911948,0.4350086655112651,2.5398773006134965
2011-08-05,Terra,0.0367,0.043500000000000004,0.048600000000000004,1.3324468085106385,0.08478802992518703,1.1852861035422344
2011-08-06,Terra,0.0193,0.0869,0.0363,1.8808290155440412,0.6365348399246705,4.5025906735751295
2011-08-07,Terra,0.029300000000000003,0.0345,0.0415,1.4215686274509804,0.05990783410138249,1.1274509803921569
2011-08-09,Terra,0.014700000000000001,0.0519,0.0296,2.0136054421768708,0.5585585585585584,3.530612244897959
2011-08-10,Terra,0.013000000000000001,0.0653,0.027200000000000002,2.0923076923076924,0.6679438058748404,5.023076923076922
2011-08-11,Terra,0.014100000000000001,0.0562,0.0297,2.106382978723404,0.5946666666666667,3.93421052631579
2011-08-12,Terra,0.016,0.023700000000000002,0.0318,1.9875,0.19395465994962222,1.4812500000000002
2011-08-13,Terra,0.019200000000000002,0.0369,0.0378,1.9687499999999998,0.3155080213903743,1.921875
2011-08-14,Terra,0.025400000000000002,0.029500000000000002,0.0412,1.622047244094488,0.01899827288428325,1.0387323943661972
2011-08-16,Terra,0.012100000000000001,0.0485,0.024900000000000002,2.0578512396694215,0.6006600660066007,4.008264462809917
2011-08-17,Terra,0.0098,0.0367,0.023100000000000002,2.3571428571428577,0.5784946236559141,3.7448979591836737
2011-08-18,Terra,0.013600000000000001,0.0555,0.0267,1.963235294117647,0.6063675832127352,4.080882352941177
2011-08-19,Terra,0.0128,0.08950000000000001,0.023700000000000002,1.9453125,0.7535816618911175,7.116279069767442
2011-08-20,Terra,0.014700000000000001,0.0207,0.0302,2.054421768707483,0.16949152542372875,1.4081632653061222
2011-08-21,Terra,0.0123,0.06620000000000001,0.024800000000000003,1.796747967479675,0.640644361833953,4.565517241379311
2011-08-22,Terra,0.022000000000000002,0.07,0.039,1.7792792792792793,0.5191256830601093,3.159090909090909
2011-08-23,Terra,0.008400000000000001,0.0094,0.020800000000000003,2.452380952380952,0.07428571428571433,1.1604938271604939
2011-08-25,Terra,0.011000000000000001,0.0315,0.023,2.0784313725490193,0.4823529411764705,2.8636363636363633
2011-08-26,Terra,0.0126,0.0941,0.023700000000000002,1.8809523809523812,0.7638238050609185,7.468253968253968
2011-08-27,Terra,0.0166,0.0252,0.030500000000000003,1.8373493975903616,0.20574162679425836,1.5180722891566265
2011-08-29,Terra,0.018000000000000002,0.0916,0.0339,1.883333333333333,0.6715328467153284,5.088888888888889
2011-09-01,Terra,0.0129,0.0327,0.0238,1.8449612403100777,0.43421052631578944,2.5348837209302326
2011-09-02,Terra,0.0094,0.09910000000000001,0.0199,2.117021276595745,0.8267281105990782,10.542553191489363
2011-09-03,Terra,0.0118,0.016300000000000002,0.0235,1.9915254237288136,0.17391304347826084,1.4210526315789473
2011-09-04,Terra,0.012700000000000001,0.0375,0.0245,1.9291338582677164,0.49402390438247,2.9527559055118107
2011-09-05,Terra,0.0238,0.1326,0.0386,1.6218487394957983,0.6956521739130435,5.571428571428571
2011-09-06,Terra,0.0114,0.0286,0.026500000000000003,2.3245614035087723,0.3333333333333333,2.0
2011-09-08,Terra,0.016900000000000002,0.0482,0.0315,1.7612903225806453,0.436661698956781,2.5502645502645502
2011-09-09,Terra,0.0111,0.0936,0.024,2.1621621621621623,0.7879656160458453,8.432432432432432
2011-09-10,Terra,0.027700000000000002,0.046700000000000005,0.0425,1.5314685314685315,0.24037184594953523,1.6328671328671331
2011-09-11,Terra,0.021500000000000002,0.10160000000000001,0.0351,1.6595744680851063,0.6506904955320877,4.725581395348837
2011-09-12,Terra,0.0478,0.2818,0.069,1.4435146443514646,0.7099514563106796,5.895397489539748
2011-09-13,Terra,0.014,0.0296,0.0298,2.1285714285714286,0.3577981651376147,2.1142857142857143
2011-09-19,Terra,0.030100000000000002,0.1985,0.0436,1.4485049833887043,0.7366579177602799,6.59468438538206
2011-09-20,Terra,0.0142,0.0519,0.024300000000000002,1.7534246575342467,0.5609022556390977,3.5547945205479454
2011-09-21,Terra,0.0148,0.041100000000000005,0.0284,1.9189189189189189,0.4704830053667263,2.777027027027027
2011-09-23,Terra,0.0194,0.0872,0.034800000000000005,1.7900552486187842,0.6562203228869895,4.817679558011049
2011-09-24,Terra,0.0142,0.0167,0.0275,1.9319727891156462,0.07317073170731704,1.1578947368421053
2011-09-28,Terra,0.023700000000000002,0.0511,0.0364,1.540084388185654,0.36266666666666664,2.1380753138075312
2011-09-29,Terra,0.0131,0.056900000000000006,0.0246,1.9541984732824427,0.5538461538461539,3.482758620689655
2011-10-08,Terra,0.0146,0.056100000000000004,0.0213,1.4589041095890412,0.586987270155587,3.8424657534246576
2011-10-14,Terra,0.0151,0.058100000000000006,0.0252,1.629139072847682,0.572411743565643,3.8545714196039045
2011-10-17,Terra,0.0088,0.0119,0.0178,1.9431818181818181,0.1497584541062802,1.3522727272727273
2011-10-18,Terra,0.0106,0.11030000000000001,0.019200000000000002,1.669811320754717,0.8065727699530516,9.339805825242719
2011-10-23,Terra,0.0199,0.0296,0.028900000000000002,1.4522613065326633,0.19595959595959594,1.4874371859296482
2011-10-25,Terra,0.0302,0.0766,0.0413,1.3675496688741722,0.43445692883895126,2.5364238410596025
2011-10-26,Terra,0.0182,0.039900000000000005,0.0258,1.4615384615384617,0.3734939759036145,2.1923076923076925
2011-10-27,Terra,0.061700000000000005,0.11860000000000001,0.0753,1.220421393841167,0.3155851358846367,1.9222042139384117
2011-11-01,Terra,0.0495,0.1404,0.053700000000000005,1.084848484848485,0.5516014234875444,3.4603174603174605
2011-11-02,Terra,0.0459,0.0722,0.0456,0.9934640522875816,0.30028818443804034,1.85831960461285
2011-11-29,Terra,0.064,0.1066,0.056400000000000006,0.8812500000000001,0.24970691676436108,1.665625
2011-12-01,Terra,0.0417,0.06380000000000001,0.0381,0.9413680781758957,0.20947867298578204,1.5299760191846525
2011-12-02,Terra,0.0363,0.0995,0.038400000000000004,1.0578512396694215,0.3403693931398417,2.032
2011-12-03,Terra,0.045200000000000004,0.1139,0.0511,1.1460176991150444,0.3503260225251926,2.0784671532846715
2011-12-04,Terra,0.055400000000000005,0.0881,0.045700000000000005,0.8519855595667869,0.2558869701726844,1.6877637130801686
2011-12-05,Terra,0.0182,0.1017,0.020800000000000003,1.142857142857143,0.696413678065054,5.587912087912088
2011-12-06,Terra,0.021,0.0287,0.021,1.0,0.19519519519519518,1.4850746268656716
2011-12-07,Terra,0.0281,0.059800000000000006,0.0324,1.1530249110320283,0.360637087599545,2.1281138790035588
2011-12-08,Terra,0.0487,0.0844,0.0449,0.9219712525667352,0.2682193839218633,1.7330595482546203
2011-12-09,Terra,0.046700000000000005,0.12350000000000001,0.043300000000000005,0.9271948608137045,0.4512338425381904,2.644539614561028
2011-12-10,Terra,0.0545,0.09140000000000001,0.053500000000000006,0.9816513761467891,0.40993184031158714,2.3894389438943895
2011-12-12,Terra,0.06380000000000001,0.1421,0.0606,0.962825278810409,0.4507401735579377,2.6412639405204463
2011-12-13,Terra,0.0663,0.0955,0.0565,0.852187028657617,0.1841269841269841,1.45136186770428
2011-12-16,Terra,0.024900000000000002,0.038,0.027100000000000003,1.0883534136546185,0.3647540983606558,2.1483870967741936
2011-12-17,Terra,0.0449,0.1087,0.0466,0.9298780487804879,0.2994620442319187,1.8549488054607508
2011-12-21,Terra,0.0456,0.11560000000000001,0.0505,1.1074561403508771,0.43424317617866004,2.5350877192982457
2011-12-22,Terra,0.06960000000000001,0.11080000000000001,0.0565,0.8376436781609194,0.22838137472283812,1.5919540229885056
2011-12-23,Terra,0.0587,0.11,0.0589,1.0034071550255537,0.30409010077059867,1.8739352640545144
2012-01-03,Terra,0.1694,0.184,0.17800000000000002,1.0507674144037782,0.0413129598189021,1.0861865407319953
2012-01-08,Terra,0.041,0.0504,0.051000000000000004,1.2439024390243902,0.10284463894967175,1.2292682926829268
2012-01-10,Terra,0.0845,0.1408,0.0863,1.021301775147929,0.2498890368397692,1.6662721893491124
2012-01-27,Terra,0.0492,0.0935,0.06420000000000001,1.321138211382114,0.38211382113821135,2.2368421052631575
2012-02-02,Terra,0.0244,0.0403,0.0397,1.573825503355705,0.2653061224489796,1.7222222222222223
2012-02-03,Terra,0.043000000000000003,0.1017,0.0461,1.095723014256619,0.40566689702833447,2.3651162790697673
2012-02-06,Terra,0.0519,0.0731,0.0504,1.0346820809248556,0.16959999999999997,1.4084778420038535
2012-02-24,Terra,0.0177,0.0178,0.0345,1.658653846153846,-0.07772020725388608,0.8557692307692306
2012-03-04,Terra,0.1267,0.1637,0.1399,1.1041831097079715,0.12741046831955924,1.292028413575375
2012-03-08,Terra,0.0362,0.0741,0.0509,1.4060773480662982,0.3436083408884859,2.0469613259668504
