date,satellite_value,calibrated_chlorophyll_ugL,sensor,calibration_model,calibration_r2,calibration_rmse
2018-07-07,0.6311253788327458,17.20396240851464,Sentinel-2,power,0.011076659762252361,14.231772963322559
2018-12-19,-0.0518953555179743,16.27393082521796,Sentinel-2,power,0.011076659762252361,14.231772963322559
2018-12-19,-0.0596785972749564,16.27393082521796,Sentinel-2,power,0.011076659762252361,14.231772963322559
2018-12-21,-0.074700234410701,16.27393082521796,Sentinel-2,power,0.011076659762252361,14.231772963322559
2018-12-21,-0.0795924733508803,16.27393082521796,Sentinel-2,power,0.011076659762252361,14.231772963322559
2018-12-31,-0.0376551560476083,16.27393082521796,Sentinel-2,power,0.011076659762252361,14.231772963322559
2018-12-31,-0.0494593347872755,16.27393082521796,Sentinel-2,power,0.011076659762252361,14.231772963322559
2019-01-13,-0.0710679002235546,16.27393082521796,Sentinel-2,power,0.011076659762252361,14.231772963322559
2019-01-13,-0.0579514164929777,16.27393082521796,Sentinel-2,power,0.011076659762252361,14.231772963322559
2019-01-25,0.0375176386485738,16.27393082521796,Sentinel-2,power,0.011076659762252361,14.231772963322559
2019-01-25,0.0421356044840342,16.27393082521796,Sentinel-2,power,0.011076659762252361,14.231772963322559
2019-01-30,0.0276701842933812,16.27393082521796,Sentinel-2,power,0.011076659762252361,14.231772963322559
2019-01-30,0.0114098548864096,16.27393082521796,Sentinel-2,power,0.011076659762252361,14.231772963322559
2019-02-14,0.2323391430936462,16.27393082521796,Sentinel-2,power,0.011076659762252361,14.231772963322559
2019-02-14,0.1681933766811678,16.27393082521796,Sentinel-2,power,0.011076659762252361,14.231772963322559
2019-02-17,0.0299609559731005,16.27393082521796,Sentinel-2,power,0.011076659762252361,14.231772963322559
2019-02-17,0.0184167786431602,16.27393082521796,Sentinel-2,power,0.011076659762252361,14.231772963322559
2019-02-22,-0.0349695724245511,16.27393082521796,Sentinel-2,power,0.011076659762252361,14.231772963322559
2019-02-22,-0.0400116338221314,16.27393082521796,Sentinel-2,power,0.011076659762252361,14.231772963322559
2019-03-01,-0.0427071918089742,16.27393082521796,Sentinel-2,power,0.011076659762252361,14.231772963322559
2019-03-01,-0.0461879514539312,16.27393082521796,Sentinel-2,power,0.011076659762252361,14.231772963322559
2019-03-04,-0.0579451359297695,16.27393082521796,Sentinel-2,power,0.011076659762252361,14.231772963322559
2019-03-04,-0.0635955018734778,16.27393082521796,Sentinel-2,power,0.011076659762252361,14.231772963322559
2019-03-11,-0.0846290242790832,16.27393082521796,Sentinel-2,power,0.011076659762252361,14.231772963322559
2019-03-11,-0.097611311863841,16.27393082521796,Sentinel-2,power,0.011076659762252361,14.231772963322559
2019-03-14,-0.0592686758960469,16.27393082521796,Sentinel-2,power,0.011076659762252361,14.231772963322559
2019-03-14,-0.0624415417846041,16.27393082521796,Sentinel-2,power,0.011076659762252361,14.231772963322559
2019-03-24,-0.0242528156757813,16.27393082521796,Sentinel-2,power,0.011076659762252361,14.231772963322559
2019-03-24,-0.0232160103520272,16.27393082521796,Sentinel-2,power,0.011076659762252361,14.231772963322559
2019-03-29,-0.0132127955493741,16.27393082521796,Sentinel-2,power,0.011076659762252361,14.231772963322559
2019-03-29,0.0090918981776825,16.27393082521796,Sentinel-2,power,0.011076659762252361,14.231772963322559
2019-03-31,-0.0507761209634548,16.27393082521796,Sentinel-2,power,0.011076659762252361,14.231772963322559
2019-03-31,-0.0531092677705607,16.27393082521796,Sentinel-2,power,0.011076659762252361,14.231772963322559
2019-04-18,-0.0180273996537442,16.27393082521796,Sentinel-2,power,0.011076659762252361,14.231772963322559
2019-04-18,-0.0149765694924007,16.27393082521796,Sentinel-2,power,0.011076659762252361,14.231772963322559
2019-04-23,-0.0410795237185899,16.27393082521796,Sentinel-2,power,0.011076659762252361,14.231772963322559
2019-04-23,-0.0405567836287616,16.27393082521796,Sentinel-2,power,0.011076659762252361,14.231772963322559
2019-04-28,-0.007378680251788,16.27393082521796,Sentinel-2,power,0.011076659762252361,14.231772963322559
2019-04-28,-0.0075450811666321,16.27393082521796,Sentinel-2,power,0.011076659762252361,14.231772963322559
2019-04-30,-0.0515450186188193,16.27393082521796,Sentinel-2,power,0.011076659762252361,14.231772963322559
2019-04-30,-0.0689957526296942,16.27393082521796,Sentinel-2,power,0.011076659762252361,14.231772963322559
2019-05-03,-0.0403075933766456,16.27393082521796,Sentinel-2,power,0.011076659762252361,14.231772963322559
2019-05-03,-0.0339054486251052,16.27393082521796,Sentinel-2,power,0.011076659762252361,14.231772963322559
2019-05-05,-0.0629837363754612,16.27393082521796,Sentinel-2,power,0.011076659762252361,14.231772963322559
2019-05-05,-0.0820711954797352,16.27393082521796,Sentinel-2,power,0.011076659762252361,14.231772963322559
2019-05-08,0.004636253583412,16.27393082521796,Sentinel-2,power,0.011076659762252361,14.231772963322559
2019-05-08,0.0066822829372826,16.27393082521796,Sentinel-2,power,0.011076659762252361,14.231772963322559
2019-05-10,-0.0879494642325376,16.27393082521796,Sentinel-2,power,0.011076659762252361,14.231772963322559
2019-05-10,-0.0747637895015223,16.27393082521796,Sentinel-2,power,0.011076659762252361,14.231772963322559
2019-05-20,0.0023899162324025,16.27393082521796,Sentinel-2,power,0.011076659762252361,14.231772963322559
2019-05-20,0.0002657040974538,16.27393082521796,Sentinel-2,power,0.011076659762252361,14.231772963322559
2019-05-20,-7.979160344468866e-06,16.27393082521796,Sentinel-2,power,0.011076659762252361,14.231772963322559
2019-05-20,0.0034431450050451,16.27393082521796,Sentinel-2,power,0.011076659762252361,14.231772963322559
2019-05-23,0.0081573774975476,16.27393082521796,Sentinel-2,power,0.011076659762252361,14.231772963322559
2019-05-25,0.0368414583087001,16.27393082521796,Sentinel-2,power,0.011076659762252361,14.231772963322559
2019-05-25,0.0281807166520383,16.27393082521796,Sentinel-2,power,0.011076659762252361,14.231772963322559
