$
Units in metric
"JDAY","DET_Flow-URO","DET_Flow-Spillway","DET_Flow-Power","DET_Flow-Power2"
212.25,0,13.309,13.875,0
213.25,0,14.442,13.592,0
214.25,0,9.911,23.786,0
215.25,0,10.477,17.273,0
216.25,0,11.61,17.273,0
217.25,0,8.778,17.556,0
218.25,0,11.044,17.84,0
219.25,0,11.044,18.123,0
220.25,0,11.044,18.123,0
221.25,0,10.76,18.406,0
222.25,0,10.76,18.972,0
223.25,0,10.76,18.689,0
224.25,0,10.76,18.689,0
225.25,0,10.477,18.406,0
226.25,0,10.477,18.689,0
227.25,0,10.477,18.972,0
228.25,0,10.194,19.539,0
229.25,0,10.194,18.972,0
230.25,0,11.61,18.972,0
231.25,0,9.911,19.255,0
232.25,0,9.628,19.255,0
233.25,0,9.628,19.539,0
234.25,0,11.61,17.556,0
235.25,0,9.911,17.84,0
236.25,0,10.477,18.406,0
237.25,0,9.061,19.539,0
238.25,0,9.345,19.255,0
239.25,0,9.061,19.539,0
240.25,0,8.778,19.255,0
241.25,0,9.061,18.406,0
242.25,0,9.911,18.972,0
243.25,0,8.778,18.972,0
244.25,0,9.911,18.406,0
245.25,0,10.194,18.689,0
246.25,0,13.026,25.485,0
247.25,0,9.911,32.564,0
248.25,0,9.061,33.131,0
249.25,0,10.477,29.733,0
250.25,0,11.044,32.281,0
251.25,0,10.477,31.998,0
252.25,0,9.345,32.564,0
253.25,0,8.495,35.396,0
254.25,0,0,49.838,0
255.25,0,0,48.705,0
256.25,0,0,49.838,0
257.25,0,0,45.59,0
258.25,0,0,57.483,0
259.25,0,0,52.103,0
260.25,0,0,48.422,0
261.25,0,0,52.103,0
262.25,0,0,52.669,0
263.25,0,0,52.386,0
264.25,5.38,0,47.572,0
265.25,0,0,52.386,0
266.25,0,0,52.386,0
267.25,0,0,51.82,0
268.25,0,0,51.537,0
269.25,0,0,50.97,0
270.25,0,0,51.253,0
271.25,0,0,72.491,0
272.25,0,0,77.871,0
273.25,0,0,70.792,0
274.25,0,0,65.978,0
275.25,0,0,81.269,0
276.25,0,0,95.994,0
277.25,0,0,95.428,0
278.25,0,0,91.18,0
279.25,0,0,90.047,0
280.25,0,0,91.463,0
281.25,0,0,93.162,0
282.25,0,0,92.03,0
283.25,0,0,92.879,0
284.25,0,0,93.162,0
285.25,0,0,94.295,0
286.25,0,0,94.861,0
287.25,0,0,94.861,0
288.25,0,0,95.145,0
289.25,0,0,92.879,0
290.25,0,0,94.012,0
291.25,0,0,95.428,0
292.25,0,0,95.145,0
293.25,0,0,94.861,0
294.25,0,0,94.861,0
295.25,0,0,95.428,0
296.25,0,0,95.145,0
297.25,0,0,95.711,0
298.25,0,0,95.145,0
299.25,0,0,96.277,0
300.25,0,0,93.446,0
301.25,0,0,94.861,0
302.25,0,0,108.17,0
303.25,23.22,0,120.346,0
304.25,0,0,113.834,0
305.25,0,0,101.941,0
306.25,0,0,102.224,0
307.25,0,0,100.808,0
308.333,0,0,101.091,0
309.333,0,0,105.339,0
310.333,0,0,105.905,0
311.333,0,0,102.79,0
312.333,0,0,103.64,0
313.333,0,0,109.869,0
314.333,0,0,110.152,0
315.333,0,0,109.303,0
316.333,0,0,110.152,0
317.333,0,0,110.436,0
318.333,3.115,0,105.622,0
319.333,0,0,107.604,0
320.333,0,0,105.055,0
321.333,0,0,103.923,0
322.333,0,0,105.055,0
323.333,0,0,103.64,0
324.333,0,0,99.958,0
325.333,0,0,79.287,0
326.333,0,0,50.404,0
327.333,0,0,45.59,0
328.333,0,0,33.697,0
329.333,0,0,33.131,0
330.333,0,0,33.98,0
331.333,0,0,31.149,0
332.333,2.832,0,30.299,0
333.333,3.964,0,30.016,0
334.333,6.796,0,29.166,0
335.333,1.133,0,31.432,0
336.333,2.549,0,27.75,0
337.333,1.416,0,20.105,0
338.333,0,0,50.121,0
339.333,0,0,105.339,0
340.333,0,0,107.887,0
341.333,0,0,109.02,0
342.333,0,0,108.737,0
343.333,0,0,108.453,0
344.333,0,0,108.17,0
345.333,0,0,82.685,0
346.333,19.822,0,41.909,0
347.333,3.115,0,69.376,0
348.333,0,0,66.545,0
349.333,0,0,65.129,0
350.333,0,0,65.978,0
351.333,0,0,65.129,0
352.333,0,0,64.279,0
353.333,0,0,64.846,0
354.333,0,0,66.261,0
355.333,0,0,56.917,0
356.333,1.133,0,46.156,0
357.333,0,0,47.855,0
358.333,0,0,48.705,0
359.333,0,0,49.271,0
360.333,0,0,30.016,0
361.333,0,0,30.016,0
362.333,0,0,32.564,0
363.333,0,0,31.149,0
364.333,0,0,32.281,0
365.333,0,0,31.715,0
366.333,0,0,32.281,0
367.333,0,0,33.697,0
