$ 2013 pst,,,,,,,,,,,
"# Blowout used as estimate for TDS, Breitenbush for SED, Blowout for all others",,,,,,,,,,,
#   JDAY,TDS,BIGSED,PTSED,PO4,NH4,Nox,RDOM,RPOM,ALG-BG,ALG-OTH,DO
4.042,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.04451947
4.083,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.00945629
4.125,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.01387787
4.167,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.01812938
4.208,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.97896122
4.25,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.94420192
4.292,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.94843113
4.333,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.94843113
4.375,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.91381723
4.417,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.8837344
4.458,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.84505561
4.5,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.79818313
4.542,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.78110743
4.583,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.80242277
4.625,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.83240754
4.667,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.83240754
4.708,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.86235583
4.75,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.86674271
4.792,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.90546223
4.833,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.901233
4.875,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.86674271
4.917,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.86235583
4.958,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.87096087
5,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.87096087
5.042,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.86674271
5.083,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.901233
5.125,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.901233
5.167,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.89260535
5.208,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.8883761
5.25,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.89260535
5.292,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.89260535
5.333,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.86235583
5.375,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.86674271
5.417,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.83661467
5.458,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.80242277
5.5,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.7938626
5.542,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.75147596
5.583,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.7471233
5.625,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.7471233
5.667,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.7471233
5.708,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.75147596
5.75,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.75147596
5.792,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.75147596
5.833,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.75147596
5.875,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.75147596
5.917,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.7556612
5.958,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.7556612
6,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.75147596
6.042,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.75147596
6.083,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.75147596
6.125,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.75147596
6.167,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.75147596
6.208,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.7471233
6.25,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.75147596
6.292,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.7556612
6.333,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.75984644
6.375,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.76419909
6.417,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.7344985
6.458,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.69660091
6.5,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.65040416
6.542,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.63761361
6.583,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.63761361
6.625,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.63346083
6.667,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.63761361
6.708,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.67112
