$
,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66,
   1.000,     0.000,     0.000,     0.000,     6.900,     5.000,    35.700,    77.400,   170.300,   253.000,   497.600,   570.700,   516.600,   594.500,   545.500,  1209.000,  1084.000,   945.700,   902.600,   839.100,   796.900,   929.800,   759.600,   484.300,   449.900,   571.000,   581.000,   594.200,   565.400,   455.500,   345.200,   330.100,   353.000,   397.800,   416.300,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    29.900,   172.700,   280.700,   306.800,   397.600,   361.300,   615.200,     0.000,     0.000,     0.000,     0.000,    95.500,   203.400,   195.700,   186.100,   243.900,   320.400,     0.000,     0.000,    12.300,    92.800,   137.200,   219.500,   289.200,   224.300,     0.000, 26
   1.000,     0.000,     0.000,     0.000,     0.000,     0.000,    24.000,    66.000,   161.700,   245.400,   491.900,   564.500,   513.000,   589.000,   539.500,  1188.700,  1067.200,   936.300,   896.400,   834.000,   790.900,   925.300,   756.000,   481.500,   446.900,   567.000,   576.200,   591.100,   559.600,   451.000,   341.900,   327.400,   350.500,   394.600,   412.500,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    14.200,   143.900,   264.600,   291.100,   385.600,   352.500,   601.500,     0.000,     0.000,     0.000,     0.000,    77.500,   192.200,   190.900,   181.500,   238.400,   314.500,     0.000,     0.000,     9.000,    89.700,   134.400,   213.300,   285.700,   221.600,     0.000, 27
   1.000,     0.000,     0.000,     0.000,     0.000,     0.000,    17.300,    57.000,   152.600,   237.300,   485.900,   558.100,   509.400,   583.100,   533.000,  1168.700,  1050.200,   926.700,   890.200,   828.800,   784.800,   920.700,   752.400,   478.700,   443.800,   562.900,   571.400,   588.000,   553.800,   446.600,   338.700,   324.600,   348.000,   391.500,   408.800,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     5.000,   110.300,   246.100,   275.200,   373.500,   343.500,   585.100,     0.000,     0.000,     0.000,     0.000,    60.800,   180.800,   185.900,   176.800,   232.800,   308.400,     0.000,     0.000,     5.800,    86.700,   131.500,   207.900,   282.200,   218.800,     0.000, 28
   1.000,     0.000,     0.000,     0.000,     0.000,     0.000,    12.200,    49.000,   142.900,   228.300,   479.600,   551.400,   505.700,   576.700,   525.700,  1148.600,  1032.400,   916.500,   884.000,   823.400,   778.500,   916.000,   748.700,   475.800,   440.700,   558.800,   566.400,   584.600,   547.900,   442.100,   335.500,   321.800,   345.600,   388.300,   405.200,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    75.500,   222.100,   258.200,   360.900,   334.100,   568.300,     0.000,     0.000,     0.000,     0.000,    46.100,   171.200,   180.700,   172.300,   227.100,   302.200,     0.000,     0.000,     5.000,    83.500,   128.700,   202.400,   278.600,   216.000,     0.000, 29
   1.000,     0.000,     0.000,     0.000,     0.000,     0.000,     6.900,    35.200,   123.400,   210.200,   472.700,   543.900,   502.000,   569.500,   517.800,  1129.000,  1012.300,   905.400,   877.600,   817.900,   771.700,   911.000,   744.800,   472.900,   437.700,   554.600,   561.100,   580.900,   541.800,   437.700,   332.300,   319.100,   343.200,   385.200,   401.700,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    41.900,   178.800,   238.500,   347.200,   323.100,   551.800,     0.000,     0.000,     0.000,     0.000,    25.400,   161.400,   175.300,   167.800,   221.200,   296.000,     0.000,     0.000,     0.000,    80.100,   125.800,   197.000,   275.000,   213.100,     0.000, 30
   1.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    14.300,    81.600,   177.500,   463.300,   535.400,   498.100,   561.700,   509.200,  1110.100,   990.500,   894.000,   871.100,   812.200,   764.700,   905.900,   740.900,   470.000,   434.600,   550.400,   555.900,   577.200,   535.600,   433.300,   329.200,   316.300,   340.900,   381.900,   398.100,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    12.200,   105.600,   213.100,   332.500,   312.200,   535.500,     0.000,     0.000,     0.000,     0.000,    10.600,   151.200,   169.700,   163.400,   215.300,   289.700,     0.000,     0.000,     0.000,    76.100,   122.900,   192.800,   271.400,   210.300,     0.000, 31
   1.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    39.900,   144.400,   452.900,   525.900,   494.300,   553.500,   500.100,  1092.100,   970.100,   883.300,   864.600,   806.400,   757.500,   901.100,   736.800,   467.000,   431.600,   546.100,   550.800,   573.700,   529.400,   429.000,   326.200,   313.600,   338.500,   378.700,   394.600,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    41.400,   181.800,   317.800,   303.100,   521.700,     0.000,     0.000,     0.000,     0.000,     5.500,   139.200,   164.100,   159.000,   209.300,   283.400,     0.000,     0.000,     0.000,    71.800,   120.100,   188.800,   267.900,   207.400,     0.000, 32
   1.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    17.700,   121.100,   442.800,   515.600,   490.400,   545.100,   491.100,  1076.800,   951.800,   873.400,   858.100,   800.500,   750.400,   897.200,   732.800,   464.000,   428.600,   541.900,   545.900,   570.200,   523.300,   424.800,   323.200,   310.800,   336.200,   375.500,   391.200,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    10.500,   144.300,   303.400,   292.700,   508.100,     0.000,     0.000,     0.000,     0.000,     0.000,   127.800,   158.500,   154.600,   203.200,   277.200,     0.000,     0.000,     0.000,    68.200,   117.200,   184.500,   264.200,   204.500,     0.000, 33
   1.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     5.000,   104.200,   431.200,   504.100,   486.300,   536.600,   482.500,  1064.100,   934.200,   863.900,   851.600,   794.600,   743.100,   893.600,   728.800,   461.100,   425.600,   537.600,   541.100,   566.500,   517.300,   420.600,   320.300,   308.100,   333.900,   372.200,   387.800,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,   103.800,   288.800,   281.100,   494.600,     0.000,     0.000,     0.000,     0.000,     0.000,   120.000,   152.900,   150.200,   197.300,   271.000,     0.000,     0.000,     0.000,    65.200,   114.300,   180.600,   260.500,   201.600,     0.000, 34
   1.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    88.200,   417.800,   491.200,   482.200,   528.800,   474.000,  1052.200,   916.700,   854.700,   845.000,   788.600,   735.900,   890.100,   724.800,   458.000,   422.700,   533.400,   536.300,   562.700,   511.400,   416.400,   317.400,   305.300,   331.500,   368.900,   384.300,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    68.200,   273.700,   271.500,   481.700,     0.000,     0.000,     0.000,     0.000,     0.000,   113.000,   147.200,   145.800,   191.300,   264.900,     0.000,     0.000,     0.000,    62.100,   111.400,   176.800,   256.800,   198.700,     0.000, 35
   1.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    72.200,   402.000,   476.900,   477.900,   521.900,   465.600,  1040.900,   899.500,   845.400,   838.500,   782.600,   728.700,   886.600,   720.700,   455.000,   419.700,   529.100,   531.500,   558.300,   505.400,   412.300,   314.600,   302.600,   329.100,   363.800,   380.800,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    38.800,   257.700,   263.500,   468.600,     0.000,     0.000,     0.000,     0.000,     0.000,   105.800,   141.600,   141.600,   185.300,   258.800,     0.000,     0.000,     0.000,    58.800,   108.500,   173.000,   253.100,   195.800,     0.000, 36
   1.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    58.100,   382.600,   460.800,   473.400,   514.800,   457.000,  1029.900,   882.200,   836.000,   831.800,   776.500,   721.400,   883.000,   716.600,   451.900,   416.700,   524.700,   526.700,   553.300,   499.400,   408.200,   311.700,   299.900,   326.800,   357.400,   377.100,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    16.500,   238.900,   255.200,   454.700,     0.000,     0.000,     0.000,     0.000,     0.000,    98.100,   135.800,   137.200,   179.300,   252.600,     0.000,     0.000,     0.000,    55.300,   105.500,   169.100,   249.300,   192.800,     0.000, 37
   1.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    44.900,   355.200,   442.700,   468.600,   507.300,   447.800,  1018.900,   864.400,   826.100,   825.100,   770.300,   714.100,   879.300,   712.500,   448.900,   413.700,   520.400,   521.700,   548.300,   493.200,   404.100,   308.900,   297.200,   324.400,   351.400,   373.500,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     5.000,   214.900,   246.500,   439.700,     0.000,     0.000,     0.000,     0.000,     0.000,    89.600,   129.900,   132.900,   173.300,   246.300,     0.000,     0.000,     0.000,    51.600,   102.500,   165.100,   245.500,   189.800,     0.000, 38
   1.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    32.100,   321.500,   421.200,   462.800,   499.300,   437.800,  1007.200,   845.000,   815.600,   818.400,   764.100,   706.500,   875.300,   708.200,   445.800,   410.600,   515.900,   516.600,   543.200,   486.900,   400.000,   306.100,   294.400,   321.900,   346.200,   369.900,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,   189.300,   236.800,   423.700,     0.000,     0.000,     0.000,     0.000,     0.000,    79.500,   123.900,   128.600,   167.300,   240.000,     0.000,     0.000,     0.000,    47.100,    99.500,   161.100,   241.700,   186.800,     0.000, 39
   1.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    18.200,   280.100,   390.900,   453.600,   490.200,   427.000,   991.800,   819.100,   803.900,   811.600,   757.800,   698.600,   870.800,   703.900,   442.700,   407.600,   511.300,   511.500,   537.600,   480.200,   395.900,   303.300,   291.700,   319.400,   342.300,   366.300,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,   142.100,   224.500,   405.900,     0.000,     0.000,     0.000,     0.000,     0.000,    66.000,   117.700,   124.300,   161.400,   233.600,     0.000,     0.000,     0.000,    41.000,    96.300,   156.700,   237.800,   183.800,     0.000, 40
   1.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     5.200,   222.600,   356.200,   443.700,   480.100,   416.200,   975.400,   792.400,   792.800,   804.900,   751.500,   690.600,   866.100,   699.500,   439.500,   404.500,   506.600,   506.200,   531.100,   472.800,   391.800,   300.500,   288.900,   316.800,   338.700,   362.700,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    88.900,   209.900,   386.700,     0.000,     0.000,     0.000,     0.000,     0.000,    46.800,   111.200,   119.800,   155.600,   227.100,     0.000,     0.000,     0.000,    33.600,    93.200,   152.100,   233.900,   180.700,     0.000, 41
   1.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,   171.700,   326.000,   435.400,   470.200,   405.800,   961.800,   771.700,   783.400,   798.200,   745.200,   682.900,   861.800,   695.000,   436.400,   401.400,   501.800,   501.000,   524.300,   465.100,   387.700,   297.700,   286.100,   314.100,   335.100,   359.100,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    63.500,   195.000,   368.400,     0.000,     0.000,     0.000,     0.000,     0.000,    26.200,   104.600,   114.600,   149.800,   220.600,     0.000,     0.000,     0.000,    27.900,    89.900,   147.100,   230.000,   177.600,     0.000, 42
   1.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,   135.800,   299.100,   426.500,   460.200,   395.400,   946.700,   754.200,   774.500,   791.500,   739.300,   675.300,   857.500,   690.500,   433.400,   398.300,   497.000,   495.900,   517.700,   457.600,   383.600,   294.900,   283.400,   311.200,   331.500,   355.600,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    48.700,   180.000,   352.200,     0.000,     0.000,     0.000,     0.000,     0.000,    11.600,    97.700,   109.000,   144.200,   214.200,     0.000,     0.000,     0.000,    24.600,    85.800,   140.700,   225.900,   174.500,     0.000, 43
   1.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,   105.200,   272.800,   415.600,   448.200,   385.400,   929.500,   738.700,   765.900,   785.000,   733.500,   668.000,   853.000,   686.000,   430.300,   395.100,   492.100,   490.800,   508.500,   450.200,   379.600,   292.100,   280.700,   308.100,   327.600,   352.200,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    37.500,   164.200,   337.200,     0.000,     0.000,     0.000,     0.000,     0.000,     5.000,    90.300,   103.800,   138.700,   207.900,     0.000,     0.000,     0.000,    22.100,    80.900,   135.300,   221.800,   171.300,     0.000, 44
   1.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    78.800,   244.700,   402.300,   431.400,   374.800,   913.500,   724.200,   757.500,   778.600,   727.700,   660.800,   848.400,   681.300,   427.200,   391.900,   487.200,   485.600,   499.500,   443.100,   375.500,   289.400,   277.900,   304.900,   323.800,   348.700,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    27.600,   146.600,   322.600,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    82.200,    98.200,   133.200,   201.700,     0.000,     0.000,     0.000,    19.300,    76.000,   131.700,   217.700,   168.200,     0.000, 45
   1.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    54.500,   213.400,   384.100,   409.200,   363.400,   899.100,   710.200,   749.200,   772.500,   721.900,   653.700,   843.600,   676.500,   424.100,   388.800,   482.100,   480.300,   493.400,   434.000,   371.400,   286.600,   275.200,   301.900,   320.000,   345.100,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    14.700,   126.100,   307.900,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    75.000,    91.600,   127.800,   195.500,     0.000,     0.000,     0.000,    15.900,    71.100,   128.000,   213.500,   165.000,     0.000, 46
   1.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    35.000,   178.300,   355.800,   387.200,   350.900,   884.800,   696.200,   740.900,   766.500,   715.900,   646.500,   838.500,   671.500,   420.900,   385.600,   477.000,   474.800,   487.700,   425.100,   367.300,   283.800,   272.400,   297.700,   316.400,   341.400,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     5.000,   100.800,   292.700,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    68.700,    84.400,   122.200,   189.200,     0.000,     0.000,     0.000,    12.000,    65.700,   124.000,   209.200,   161.700,     0.000, 47
   1.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    17.500,   134.600,   315.000,   367.900,   337.000,   869.600,   682.100,   732.400,   760.400,   709.300,   639.100,   832.600,   666.200,   417.900,   382.300,   471.900,   469.300,   482.200,   416.600,   363.200,   281.000,   269.600,   292.800,   312.900,   337.400,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    73.600,   276.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    61.100,    77.000,   116.700,   182.900,     0.000,     0.000,     0.000,     8.300,    59.700,   119.800,   204.600,   158.400,     0.000, 48
   1.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     5.000,    76.800,   264.700,   348.200,   322.200,   850.300,   667.300,   723.500,   754.300,   701.900,   631.800,   825.000,   660.400,   414.700,   379.100,   466.700,   463.800,   476.900,   408.500,   359.200,   278.100,   266.800,   288.300,   309.600,   333.500,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    49.000,   256.400,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    53.200,    67.300,   110.900,   176.500,     0.000,     0.000,     0.000,     5.000,    51.900,   112.800,   197.600,   155.100,     0.000, 49
   1.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    30.700,   172.900,   320.200,   306.800,   821.700,   650.300,   713.100,   748.200,   694.100,   624.900,   817.800,   654.000,   411.600,   375.700,   461.400,   458.200,   471.500,   402.600,   355.100,   275.300,   263.900,   284.700,   306.300,   329.400,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    26.500,   233.700,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    45.000,    54.300,   104.800,   170.000,     0.000,     0.000,     0.000,     0.000,    39.800,   103.700,   189.200,   151.800,     0.000, 50
   1.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    11.400,    80.000,   282.100,   290.900,   785.300,   630.300,   702.200,   741.500,   686.800,   618.300,   811.900,   647.100,   408.300,   372.400,   456.100,   452.600,   463.400,   397.400,   351.100,   272.400,   261.000,   281.900,   302.800,   324.900,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     8.600,   208.400,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    31.500,    38.400,    98.500,   163.600,     0.000,     0.000,     0.000,     0.000,    23.600,    94.600,   181.700,   148.400,     0.000, 51
   1.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     5.000,    41.900,   245.000,   274.900,   749.300,   610.800,   692.300,   734.400,   680.200,   612.000,   805.900,   640.400,   405.000,   369.000,   450.900,   446.900,   454.400,   392.500,   347.100,   269.500,   258.100,   279.200,   299.300,   320.300,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,   186.600,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    17.100,    24.100,    91.700,   157.200,     0.000,     0.000,     0.000,     0.000,    12.800,    82.500,   173.300,   144.900,     0.000, 52
   1.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    26.100,   211.100,   257.900,   715.400,   594.100,   683.100,   727.300,   673.900,   605.800,   799.600,   634.200,   401.700,   365.600,   445.800,   441.200,   447.800,   387.900,   343.200,   266.600,   255.200,   276.500,   295.900,   314.100,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,   169.400,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     8.700,    14.000,    84.400,   151.000,     0.000,     0.000,     0.000,     0.000,     8.700,    70.000,   166.200,   141.500,     0.000, 53
   1.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    17.600,   173.700,   239.700,   673.300,   578.000,   674.100,   720.200,   667.500,   599.800,   792.400,   627.900,   398.300,   362.100,   440.700,   435.800,   441.800,   383.500,   339.300,   263.700,   252.300,   272.800,   292.500,   306.700,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,   151.700,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     5.000,     5.800,    76.600,   144.800,     0.000,     0.000,     0.000,     0.000,     5.000,    60.000,   160.700,   138.000,     0.000, 54
   1.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    10.900,   135.400,   220.900,   621.800,   561.900,   665.100,   713.200,   661.600,   593.800,   783.000,   621.200,   394.800,   358.500,   435.700,   430.500,   435.900,   379.300,   335.400,   260.800,   249.300,   268.700,   289.200,   300.600,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,   132.900,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    67.600,   138.800,     0.000,     0.000,     0.000,     0.000,     0.000,    50.200,   155.300,   134.500,     0.000, 55
   1.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     5.000,   104.800,   200.400,   573.000,   545.400,   655.800,   706.100,   656.500,   588.000,   771.700,   614.100,   391.100,   354.900,   430.700,   425.300,   430.900,   375.200,   331.500,   257.900,   246.400,   265.000,   286.000,   295.900,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,   111.100,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    58.800,   132.800,     0.000,     0.000,     0.000,     0.000,     0.000,    40.100,   149.800,   131.000,     0.000, 56
   1.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    83.100,   176.900,   511.000,   527.700,   646.000,   698.700,   651.400,   582.300,   759.500,   606.400,   387.400,   351.100,   425.700,   419.400,   427.400,   371.100,   327.800,   255.000,   243.600,   260.900,   282.800,   291.600,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    88.100,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    50.900,   126.900,     0.000,     0.000,     0.000,     0.000,     0.000,    31.700,   144.300,   127.400,     0.000, 57
   1.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    66.500,   147.900,   424.800,   508.500,   635.500,   691.200,   646.300,   576.500,   748.200,   598.000,   383.500,   347.400,   420.600,   413.300,   424.000,   367.100,   324.000,   252.100,   240.700,   257.300,   279.600,   287.200,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    62.800,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    43.600,   120.900,     0.000,     0.000,     0.000,     0.000,     0.000,    25.000,   138.900,   123.800,     0.000, 58
   1.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    49.600,   110.300,   320.700,   486.600,   624.100,   684.200,   641.200,   570.700,   738.700,   588.200,   379.600,   343.500,   415.400,   407.700,   420.600,   363.100,   320.300,   249.200,   237.800,   254.600,   276.500,   282.600,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    32.100,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    37.300,   115.000,     0.000,     0.000,     0.000,     0.000,     0.000,    19.500,   133.300,   120.100,     0.000, 59
   1.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    35.600,    72.400,   206.200,   454.200,   611.200,   677.300,   636.100,   564.700,   727.700,   573.500,   375.500,   339.500,   410.100,   402.100,   417.200,   359.100,   316.500,   246.300,   235.000,   252.000,   273.400,   277.900,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     7.700,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    32.300,   109.000,     0.000,     0.000,     0.000,     0.000,     0.000,    15.200,   127.200,   116.500,     0.000, 60
   1.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    24.800,    38.800,   100.100,   411.100,   597.000,   670.200,   630.900,   558.500,   715.100,   554.600,   371.400,   335.500,   404.800,   396.600,   413.800,   355.200,   312.800,   243.400,   232.200,   249.300,   270.300,   273.100,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    28.300,   103.000,     0.000,     0.000,     0.000,     0.000,     0.000,    11.700,   121.000,   112.800,     0.000, 61
   1.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    10.900,    11.000,    41.500,   365.500,   582.600,   663.300,   625.500,   552.500,   703.500,   538.500,   367.200,   331.400,   399.500,   391.400,   410.300,   351.300,   309.200,   240.500,   229.400,   246.600,   267.200,   268.600,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    25.400,    97.100,     0.000,     0.000,     0.000,     0.000,     0.000,     9.000,   115.500,   109.000,     0.000, 62
   1.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    21.300,   320.200,   568.400,   656.500,   619.300,   546.500,   692.500,   525.600,   362.900,   327.400,   394.200,   386.500,   406.800,   347.500,   305.600,   237.600,   226.700,   243.800,   264.100,   263.700,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    23.500,    91.300,     0.000,     0.000,     0.000,     0.000,     0.000,     7.500,   110.100,   105.200,     0.000, 63
   1.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     5.300,   272.400,   554.300,   649.600,   612.600,   540.500,   681.100,   512.600,   358.700,   323.300,   388.900,   381.700,   403.200,   343.800,   302.000,   234.700,   224.000,   240.400,   260.900,   258.600,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    21.600,    85.700,     0.000,     0.000,     0.000,     0.000,     0.000,     6.100,   104.600,   101.400,     0.000, 64
   1.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,   222.800,   540.100,   642.700,   606.100,   534.600,   666.900,   498.200,   354.400,   319.200,   383.500,   376.900,   399.500,   340.000,   298.400,   231.800,   221.300,   236.500,   257.700,   253.900,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    19.600,    80.100,     0.000,     0.000,     0.000,     0.000,     0.000,     5.000,    98.800,    97.500,     0.000, 65
