$
,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66,
   1.000,     0.000,    51.900,   141.300,   287.100,   260.800,   196.300,   268.000,   360.500,   392.200,   580.200,   693.500,   603.800,   698.900,   634.200,  1664.000,  1422.000,  1144.200,  1075.800,   941.600,   908.800,   977.300,   827.200,   547.400,   516.900,   642.200,   673.400,   655.700,   681.700,   557.900,   426.200,   390.900,   414.100,   498.700,   512.500,     0.000,     0.000,    96.000,    79.300,   149.200,   242.900,   312.500,   681.300,   631.600,   785.700,   784.000,   694.300,   990.100,     0.000,     0.000,    36.500,   151.700,   337.000,   497.400,   281.200,   290.600,   346.200,   429.400,     0.000,     0.000,    86.100,   153.700,   199.600,   357.400,   408.800,   283.200,     0.000,  6
   1.000,     0.000,    44.800,   134.000,   277.700,   255.000,   192.000,   261.700,   354.100,   387.700,   578.900,   689.800,   596.900,   692.000,   627.600,  1649.200,  1409.800,  1136.800,  1068.000,   936.300,   903.500,   975.600,   823.600,   543.900,   513.200,   638.600,   668.800,   653.800,   676.400,   552.900,   421.600,   387.400,   410.800,   488.700,   507.700,     0.000,     0.000,    85.300,    74.800,   143.300,   234.200,   302.200,   653.400,   620.200,   773.500,   769.000,   674.600,   973.600,     0.000,     0.000,    31.900,   145.300,   330.000,   487.100,   277.400,   285.800,   341.300,   424.000,     0.000,     0.000,    82.400,   150.300,   196.000,   352.800,   397.900,   279.500,     0.000,  7
   1.000,     0.000,    38.900,   126.500,   268.900,   249.100,   187.800,   255.300,   347.600,   383.200,   577.400,   685.900,   592.100,   687.000,   623.100,  1632.600,  1397.300,  1129.300,  1060.000,   930.700,   898.200,   974.000,   820.100,   540.300,   509.600,   635.000,   664.300,   651.800,   671.000,   547.700,   417.100,   384.000,   407.500,   481.400,   502.700,     0.000,     0.000,    74.000,    70.000,   136.800,   225.300,   291.900,   626.000,   607.300,   760.000,   753.700,   659.200,   954.900,     0.000,     0.000,    27.400,   140.000,   323.000,   478.000,   273.600,   281.100,   336.400,   418.800,     0.000,     0.000,    78.800,   147.000,   192.500,   348.500,   391.500,   276.100,     0.000,  8
   1.000,     0.000,    34.900,   118.200,   259.000,   243.100,   183.500,   248.700,   340.700,   378.600,   575.500,   682.100,   587.300,   681.800,   619.000,  1615.300,  1384.300,  1121.600,  1051.500,   925.000,   893.000,   972.300,   816.500,   536.900,   506.100,   631.600,   659.900,   649.600,   665.600,   542.500,   412.600,   380.600,   404.200,   473.600,   497.600,     0.000,     0.000,    61.500,    64.800,   128.100,   216.000,   281.000,   598.100,   590.600,   744.400,   737.500,   644.400,   940.200,     0.000,     0.000,    23.100,   134.800,   314.000,   470.000,   269.800,   276.200,   331.600,   413.700,     0.000,     0.000,    75.000,   143.800,   189.000,   344.300,   386.600,   272.900,     0.000,  9
   1.000,     0.000,    29.200,   107.800,   247.100,   236.600,   178.900,   241.500,   333.000,   373.800,   573.400,   678.000,   582.600,   676.600,   614.900,  1598.100,  1369.500,  1113.300,  1041.700,   919.500,   887.600,   970.600,   813.200,   533.400,   502.500,   628.100,   655.500,   647.500,   660.100,   537.100,   408.100,   377.100,   400.900,   466.400,   492.200,     0.000,     0.000,    46.100,    58.900,   118.300,   206.400,   269.100,   554.500,   565.700,   724.200,   718.500,   625.500,   924.500,     0.000,     0.000,    17.000,   129.500,   304.100,   460.800,   266.000,   271.400,   326.800,   408.600,     0.000,     0.000,    71.200,   140.600,   185.600,   338.300,   379.900,   269.800,     0.000, 10
   1.000,     0.000,    20.600,    88.400,   232.800,   229.400,   174.200,   234.100,   324.300,   368.700,   571.000,   673.600,   577.900,   671.100,   610.800,  1576.900,  1349.900,  1103.000,  1030.600,   914.100,   882.100,   968.900,   809.800,   529.900,   498.800,   624.700,   651.100,   645.300,   654.500,   531.600,   403.600,   373.900,   397.500,   461.000,   486.800,     0.000,     0.000,    24.900,    52.000,   107.900,   195.300,   256.600,   500.700,   539.100,   697.800,   695.500,   603.000,   906.500,     0.000,     0.000,     9.600,   123.900,   292.100,   444.000,   262.100,   266.300,   322.000,   403.500,     0.000,     0.000,    67.300,   137.500,   182.200,   331.400,   372.500,   266.800,     0.000, 11
   1.000,     0.000,    10.500,    60.200,   217.200,   221.300,   169.100,   226.300,   315.100,   363.400,   568.500,   668.900,   573.200,   665.500,   606.900,  1552.800,  1329.500,  1092.000,  1019.700,   908.900,   876.700,   967.100,   806.500,   526.600,   495.200,   621.300,   646.700,   643.000,   648.900,   526.100,   399.100,   370.800,   394.200,   456.100,   481.800,     0.000,     0.000,     8.700,    42.900,    93.200,   183.900,   244.600,   461.600,   515.800,   669.400,   672.200,   581.400,   889.500,     0.000,     0.000,     5.000,   117.800,   279.500,   424.700,   258.100,   260.900,   317.200,   398.500,     0.000,     0.000,    62.900,   134.400,   179.000,   326.400,   366.800,   263.700,     0.000, 12
   1.000,     0.000,     5.000,    30.200,   201.400,   212.800,   163.700,   218.100,   305.600,   357.800,   565.600,   664.000,   568.500,   659.900,   603.000,  1524.200,  1312.900,  1082.100,  1009.900,   903.900,   871.200,   965.100,   803.300,   523.300,   491.800,   618.000,   642.200,   640.600,   643.300,   520.700,   394.700,   367.700,   390.900,   451.400,   477.100,     0.000,     0.000,     5.000,    30.500,    71.000,   173.900,   233.600,   438.400,   491.200,   643.300,   651.100,   560.700,   868.900,     0.000,     0.000,     0.000,   109.800,   267.900,   411.000,   254.100,   255.400,   312.500,   393.400,     0.000,     0.000,    58.900,   131.400,   175.800,   322.500,   362.400,   260.700,     0.000, 13
   1.000,     0.000,     0.000,    10.700,   184.800,   203.900,   157.800,   209.500,   295.500,   351.800,   562.600,   658.500,   563.900,   654.500,   599.200,  1493.600,  1297.700,  1072.500,  1000.100,   899.000,   865.600,   963.000,   800.000,   520.100,   488.400,   614.600,   637.900,   638.100,   637.500,   515.400,   390.400,   364.600,   387.600,   446.700,   472.400,     0.000,     0.000,     0.000,    14.300,    44.800,   164.300,   223.000,   421.900,   468.700,   616.700,   630.300,   540.500,   847.400,     0.000,     0.000,     0.000,   100.500,   255.000,   399.400,   249.900,   249.900,   307.600,   388.400,     0.000,     0.000,    55.600,   128.400,   172.700,   319.100,   358.400,   257.800,     0.000, 14
   1.000,     0.000,     0.000,     5.000,   166.800,   194.300,   151.400,   200.400,   284.800,   345.200,   559.300,   652.400,   559.300,   649.000,   595.400,  1469.100,  1282.600,  1062.900,   990.400,   894.200,   860.100,   960.800,   796.800,   517.000,   485.200,   611.300,   633.400,   635.300,   631.700,   510.100,   386.200,   361.600,   384.400,   442.200,   467.400,     0.000,     0.000,     0.000,     5.000,    26.800,   155.000,   212.700,   406.400,   451.000,   589.000,   609.300,   520.600,   828.900,     0.000,     0.000,     0.000,    92.800,   242.500,   387.600,   245.700,   244.400,   302.800,   383.400,     0.000,     0.000,    52.000,   125.400,   169.500,   315.600,   354.500,   254.900,     0.000, 15
