$ 2013 N,orth San,"tiam, ps",t,no continuous usgs wq data 2013,,,,,,,
#,,,,,,,,,,,
#   JDAY,TDS,BIGSED,PTSED,PO4,NH4,NOx,RDOM,RPOM,ALG-BG,ALG-OTH,DO
69.792,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.34762356
69.833,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.34762356
69.875,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.37963926
69.917,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.38383759
69.958,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.38383759
70,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.41179708
70.042,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.41179708
70.083,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.44409781
70.125,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.44004041
70.167,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.46840677
70.208,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.46417633
70.25,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.46417633
70.292,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.46010858
70.333,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.46417633
70.375,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.46417633
70.417,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.42770591
70.458,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.35913196
70.5,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.29132875
70.542,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.22412725
70.583,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.15338532
70.625,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.14924986
70.667,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.11420509
70.708,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.11023861
70.75,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.1371616
70.792,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.14129706
70.833,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.17249249
70.875,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.20382565
70.917,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.2352973
70.958,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.23113059
71,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.25871443
71.042,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.28625687
71.083,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.31004336
71.125,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.37414793
71.167,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.40641416
71.208,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.40218367
71.25,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.43882406
71.292,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.43458277
71.333,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.43882406
71.375,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.41048193
71.417,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.34202459
71.458,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.27820346
71.5,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.17936773
71.542,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.07390553
71.583,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.0123771
71.625,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,11.91717256
71.667,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,11.88295425
71.708,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,11.88295425
71.75,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,11.91717256
71.792,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,11.95138601
71.833,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,11.98984624
71.875,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.05510191
71.917,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.11696142
71.958,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.18352399
72,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.24650411
72.042,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.30584498
72.083,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.34607174
72.125,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.3822628
72.167,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.37820537
72.208,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.4145497
72.25,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.4145497
72.292,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.44698038
72.333,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.41048193
72.375,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.37820537
72.417,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.31004336
72.458,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.21077782
72.5,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.13996362
72.542,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.03911715
72.583,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,11.93944712
72.625,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,11.87498212
72.667,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,11.84498901
72.708,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,11.84498901
72.75,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,11.87498212
72.792,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,11.93536276
72.833,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,11.96575175
72.875,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.00037884
72.917,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.06184735
72.958,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.12385858
73,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.15091331
73.042,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.21372891
73.083,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.28130053
73.125,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.30495261
73.167,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.32870447
73.208,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.36508543
73.25,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.39314851
73.292,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.42983821
73.333,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.43801544
73.375,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.41386568
73.417,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.34103915
73.458,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.2413187
73.5,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.10360763
73.542,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.00683099
73.583,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,11.9498462
73.625,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,11.85919413
73.667,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,11.80734897
73.708,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,11.81512643
73.75,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,11.82305944
73.792,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,11.86479235
73.833,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,11.92908194
73.875,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,11.96740921
73.917,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,11.99787772
73.958,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.06317341
74,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.12507331
74.042,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.16021445
74.083,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.18752038
74.125,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.21494454
74.167,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.24650411
74.208,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.27820346
74.25,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.28223017
74.292,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.31408027
74.333,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.31811717
74.375,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.31811717
74.417,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.25453722
74.458,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.18752038
74.5,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.1210969
74.542,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.02042855
74.583,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,11.95138601
74.625,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,11.91717256
74.667,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,11.85699577
74.708,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,11.88701848
74.75,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,11.91717256
74.792,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,11.95138601
74.833,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.0123771
74.875,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.0470304
74.917,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.1048731
74.958,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.16721867
75,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.22609996
75.042,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.25774774
75.083,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.28953585
75.125,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.34525891
75.167,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.34525891
75.208,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.37322103
75.25,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.36915323
75.292,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.36508543
75.333,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.36915323
75.375,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.33698169
75.417,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.30090544
75.458,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.22907743
75.5,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.16606561
75.542,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.15388589
75.583,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.14571264
75.625,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.1103096
75.667,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.09816042
75.708,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.05497322
75.75,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.09416397
75.792,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.13753939
75.833,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.18111421
75.875,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.24852064
75.917,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.28439295
75.958,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.36915323
76,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.43392683
76.042,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.50766335
76.083,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.58207208
76.125,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.61944809
76.167,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.6569946
76.208,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.69904208
76.25,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.70337157
76.292,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.70753454
76.333,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.71169751
76.375,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.67808777
76.417,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.64893539
76.458,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.6156142
76.5,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.5122762
76.542,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.47546702
76.583,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.47546702
76.625,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.47137843
76.667,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.47546702
76.708,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.47546702
76.75,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.46712629
76.792,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.46712629
76.833,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.50407806
76.875,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.50407806
76.917,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.54103336
76.958,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.56991633
77,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.57403651
77.042,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.60305658
77.083,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.60305658
77.125,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.63634532
77.167,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.63634532
77.208,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.6404868
77.25,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.64462827
77.292,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.64462827
77.333,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.64462827
77.375,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.6156142
77.417,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.51653923
77.458,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.45122166
77.5,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.37820537
77.542,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.21494454
77.583,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.17537133
77.625,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.07390553
77.667,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.07390553
77.708,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.10089667
77.75,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.159066
77.792,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.19459172
77.833,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.26177446
77.875,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.32551221
77.917,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.38981761
77.958,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.4789917
78,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.50338935
78.042,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.56934916
78.083,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.59426781
78.125,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.62327861
78.167,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.61912639
78.208,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.65258316
78.25,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.64825363
78.292,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.68619028
78.333,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.64825363
78.375,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.61065584
78.417,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.53580681
78.458,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.42488354
78.5,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.34763579
78.542,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.2751457
78.583,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.19507131
78.625,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.11588435
78.667,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.08048657
78.708,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.0724735
78.75,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.02910145
78.792,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.02110847
78.833,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.04394688
78.875,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.07507519
78.917,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.06286453
78.958,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.08169719
79,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.07767036
79.042,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.10900247
79.083,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.10076693
79.125,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.08849435
79.167,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.11165696
79.208,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.10760967
79.25,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.10340049
79.292,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.0953059
79.333,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.0953059
79.375,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.12816987
79.417,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.14452085
79.458,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.13354754
79.5,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.15001853
79.542,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.15001853
79.583,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.162291
79.625,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.17876192
79.667,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.2227136
79.708,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.2668684
79.75,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.34339445
79.792,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.38404555
79.833,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.46590951
79.875,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.54423373
79.917,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.59840931
79.958,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.63590137
80,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.67373116
80.042,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.68222365
80.083,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.72008164
80.125,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.72008164
80.167,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.74974356
80.208,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.78792726
80.25,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.78792726
80.292,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.79212286
80.333,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.75811291
80.375,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.73276998
80.417,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.73711073
80.458,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.70753454
80.5,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.57815668
80.542,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.53264978
80.583,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.56563135
80.625,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.53264978
80.667,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.52854018
80.708,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.49981503
80.75,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.53264978
80.792,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.56991633
80.833,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.61131818
80.875,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.64462827
80.917,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.71169751
80.958,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.77937101
81,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.81343644
81.042,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.87781131
81.083,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.88202889
81.125,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.88202889
81.167,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.88202889
81.208,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.88202889
81.25,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.88641517
81.292,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.89063274
81.333,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.89501901
81.375,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.83055439
81.417,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.76666111
81.458,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.72868238
81.5,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.6656669
81.542,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.6656669
81.583,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.59496695
81.625,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.49214845
81.667,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.45954108
81.708,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.46361923
81.75,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.5003256
81.792,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.56601967
81.833,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.57440321
81.875,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.61177719
81.917,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.64502539
81.958,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.68256402
82,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.71612174
82.042,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.74983015
82.083,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.74566721
82.125,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.77951632
82.167,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.81351773
82.208,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.81351773
82.25,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.84767229
82.292,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.88198084
82.333,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.84767229
82.375,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.84767229
82.417,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.80916571
82.458,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.7371748
82.5,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.66152544
82.542,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.59084679
82.583,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.48380774
82.625,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.4145497
82.667,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.37820537
82.708,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.37820537
82.75,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.41048193
82.792,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.47546702
82.833,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.51653923
82.875,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.54941693
82.917,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.58244166
82.958,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.64462827
83,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.67808777
83.042,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.67808777
83.083,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.70753454
83.125,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.74128452
83.167,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.73711073
83.208,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.73276998
83.25,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.76246497
83.292,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.76664963
83.333,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.72859619
83.375,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.69487911
83.417,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.61944809
83.458,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.54898581
83.5,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.44226759
83.542,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.33698169
