$2013 B,reitenbu,"sh, pst",,no continuous usgs wq data 2013,,,,,,,
#,,,,,,,,,,,
#   JDAY,TDS,BIGSED,PTSED,PO4,NH4,NOx,RDOM,RPOM,ALG-BG,ALG-OTH,DO
79.125,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.11991342
79.167,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.11165696
79.208,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.10760967
79.25,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.10340049
79.292,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.06394911
79.333,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.06394911
79.375,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.06542879
79.417,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.08169719
79.458,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.07089786
79.5,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.08728583
79.542,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.08728583
79.583,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.09949645
79.625,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.14725361
79.667,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.19103434
79.708,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.23501714
79.75,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.2792032
79.792,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.351714
79.833,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.40072719
79.875,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.44570703
79.917,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.49927973
79.958,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.50338935
80,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.57364522
80.042,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.6153066
80.083,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.65284239
80.125,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.65284239
80.167,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.64869019
80.208,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.65284239
80.25,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.65284239
80.292,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.6569946
80.333,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.6569946
80.375,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.66546509
80.417,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.63634532
80.458,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.6404868
80.5,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.61131818
80.542,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.56563135
80.583,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.53264978
80.625,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.49981503
80.667,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.4630377
80.708,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.46712629
80.75,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.49981503
80.792,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.53692376
80.833,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.57815668
80.875,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.61131818
80.917,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.64462827
80.958,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.71169751
81,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.71169751
81.042,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.74128452
81.083,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.74545831
81.125,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.74545831
81.167,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.74545831
81.208,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.74545831
81.25,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.74979904
81.292,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.75397283
81.333,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.75831356
81.375,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.76248733
81.417,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.73284533
81.458,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.69502869
81.5,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.63230259
81.542,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.59908711
81.583,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.49623702
81.625,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.45954108
81.667,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.42707843
81.708,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.43114619
81.75,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.43521395
81.792,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.46769737
81.833,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.50866629
81.875,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.54572451
81.917,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.61177719
81.958,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.64915616
82,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.68256402
82.042,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.68256402
82.083,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.71196957
82.125,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.74566721
82.167,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.74566721
82.208,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.77951632
82.25,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.77951632
82.292,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.81351773
82.333,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.81351773
82.375,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.77951632
82.417,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.74133775
82.458,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.70349914
82.5,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.6281718
82.542,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.5578005
82.583,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.45122166
82.625,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.35011889
82.667,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.31408027
82.708,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.34607174
82.75,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.37820537
82.792,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.41048193
82.833,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.45122166
82.875,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.51653923
82.917,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.58244166
82.958,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.61131818
83,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.64462827
83.042,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.67808777
83.083,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.67393558
83.125,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.70753454
83.167,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.70337157
83.208,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.69904208
83.25,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.69487911
83.292,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.69904208
83.333,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.69487911
83.375,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.66131289
83.417,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.61944809
83.458,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.54898581
83.5,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.44226759
83.542,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.33698169
83.583,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.26482987
83.625,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.19750191
83.667,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.13061149
83.708,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.09547535
83.75,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.09148893
83.792,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.12261863
83.833,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.16189887
83.875,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.19750191
83.917,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.26079293
83.958,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.324647
84,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.38907033
84.042,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.44980614
84.083,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.47840281
84.125,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.50283954
84.167,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.53167597
84.208,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.53167597
84.25,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.56892179
84.292,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.56892179
84.333,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.56047309
84.375,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.54788286
84.417,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.47778858
84.458,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.39996085
84.5,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.29479347
84.542,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.19103434
84.583,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.09282669
84.625,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.0265897
84.667,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.96109722
84.708,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.90407621
84.75,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.90407621
84.792,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.93861803
84.833,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.98124736
84.875,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.01595962
84.917,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.08601121
84.958,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.11718633
85,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.17592427
85.042,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.21154215
85.083,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.24327344
85.125,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.23922624
85.167,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.2751457
85.208,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.2751457
85.25,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.2792032
85.292,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.2792032
85.333,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.283423
85.375,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.283423
85.417,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.25152974
85.458,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.18397781
85.5,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.12119284
85.542,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.05497322
85.583,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.95871798
85.625,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.89378274
85.667,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.86357188
85.708,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.86357188
85.75,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.86765628
85.792,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.90181433
85.833,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.93612462
85.875,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.96663132
85.917,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.02407163
85.958,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.05497322
86,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.08601121
86.042,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.11718633
86.083,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.14030545
86.125,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.14030545
86.167,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.17173643
86.208,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.16770966
86.25,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.20330673
86.292,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.20330673
86.333,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.20330673
86.375,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.17592427
86.417,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.14030545
86.458,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.10500652
86.5,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.97712214
86.542,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.91212779
86.583,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.84770551
86.625,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.79557285
86.667,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.7401513
86.708,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.71060221
86.75,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.7401513
86.792,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.74808439
86.833,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.78963292
86.875,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.85746864
86.917,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.91787749
86.958,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.97881786
87,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.0094892
87.042,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.04427209
87.083,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.07522432
87.125,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.1103096
87.167,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.14154589
87.208,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.17292035
87.25,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.17709761
87.292,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.21264832
87.333,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.21264832
87.375,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.18111421
87.417,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.14971914
87.458,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.1144659
87.5,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.02154748
87.542,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.92575157
87.583,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.79758552
87.625,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.73822239
87.667,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.68323388
87.708,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.66569792
87.75,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.69898389
87.792,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.70670447
87.833,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.77360087
87.875,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.8112377
87.917,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.87498212
87.958,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.94337439
88,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.00432564
88.042,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.03911715
88.083,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.06993903
88.125,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.1048731
88.167,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.13597723
88.208,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.13996362
88.25,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.17121507
88.292,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.17537133
88.333,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.17936773
88.375,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.17537133
88.417,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.14410946
88.458,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.07787203
88.5,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.98181475
88.542,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.85294154
88.583,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.82305944
88.625,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.73418967
88.667,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.64646993
88.708,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.67174171
88.75,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.7303294
88.792,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.79330723
88.833,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.83099243
88.875,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.8988985
88.917,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.96332487
88.958,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.03242678
89,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.09405534
89.042,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.15622807
89.083,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.21895099
89.125,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.24650411
89.167,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.30584498
89.208,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.33781556
89.25,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.36992819
89.292,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.40218367
89.333,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.39811589
89.375,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.38981761
89.417,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.38151933
89.458,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.27710213
89.5,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.1387642
89.542,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.97622437
89.583,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.81333474
89.625,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.68709418
89.667,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.62103348
89.708,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.58806694
89.75,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.62103348
89.792,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.65399119
89.833,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.71647353
89.875,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.81333474
89.917,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.87329571
89.958,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.96422605
90,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.02154748
90.042,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.08335663
90.083,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.1144659
90.125,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.17709761
90.167,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.20443374
90.208,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.23608685
90.25,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.26788042
90.292,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.30403503
90.333,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.29575776
90.375,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.29170028
90.417,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.25978603
90.458,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.15669325
90.5,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.05098678
90.542,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.88984568
90.583,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.73221819
90.625,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.58584482
90.667,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.49953125
90.708,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.47481224
90.75,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.48257352
90.792,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.5437759
90.833,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.61319672
90.875,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.70470951
90.917,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.79353125
90.958,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.85746864
91,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.91787749
91.042,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.94828087
91.083,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.98277452
91.125,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.0094892
91.167,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.01345574
91.208,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.05238407
91.25,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.05238407
91.292,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.09148893
91.333,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.09547535
91.375,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.09946176
91.417,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.07258444
91.458,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.01490254
91.5,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.98427587
91.542,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.92342385
91.583,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.86716628
91.625,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.83719241
91.667,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.8112377
91.708,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.81512643
91.75,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.84904324
91.792,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.88295425
91.833,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.91717256
91.875,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.94745874
91.917,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.97787775
91.958,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.03911715
92,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.04307378
92.042,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.07787203
92.083,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.10884952
92.125,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.10884952
92.167,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.13996362
92.208,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.13996362
92.25,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.14410946
92.292,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.14809585
92.333,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.15224169
92.375,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.14410946
92.417,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.112985
92.458,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.01632389
92.5,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.95531327
92.542,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.86089406
92.583,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.83099243
92.625,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.83099243
92.667,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.79734159
92.708,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.79330723
92.75,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.81917071
92.792,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.85294154
92.833,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.89092638
92.875,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,11.92500768
