Date,Site ID (new),Chl RFU,Chl ug/L
2011-08-09,BO,0.2,0.9
2011-08-09,BB,0.2,0.6
2011-08-09,BB,0.0,0.1
2011-08-09,BB,0.2,0.6
2011-08-16,BB,0.0,0.0
2011-08-16,BB,0.0,0.0
2011-08-16,HT,0.0,0.0
2011-08-16,HT,0.1,0.2
2011-08-16,HT,0.1,0.5
2011-08-16,HT,0.0,0.0
2011-08-16,LB,0.0,0.0
2011-08-16,LB,0.0,0.0
2011-08-24,BB,0.3,1.2
2011-08-24,BB,0.2,0.9
2011-08-24,BB,0.2,0.8
2011-08-24,BO,0.0,0.1
2011-08-24,BO,0.0,0.1
2011-08-24,BO,0.0,0.1
2011-08-24,HT,0.1,0.2
2011-08-24,HT,0.1,0.3
2011-08-24,HT,0.1,0.3
2011-08-24,LB,0.1,0.5
2011-08-24,LB,0.0,0.0
2011-08-24,LB,0.1,0.2
2011-08-31,BB,0.1,0.3
2011-08-31,BB,0.1,0.3
2011-08-31,BB,0.1,0.2
2011-08-31,BB,0.1,0.5
2011-08-31,BB,0.2,0.9
2011-08-31,BO,0.3,1.1
2011-08-31,BO,0.1,0.5
2011-08-31,BO,0.3,0.9
2011-08-31,HT,0.3,0.9
2011-08-31,HT,0.5,1.7
2011-08-31,HT,0.3,1.2
2011-08-31,HT,0.2,0.6
2011-08-31,HT,0.1,0.4
2011-08-31,HT,0.3,1.2
2011-08-31,HT,0.3,1.0
2011-08-31,LB,0.3,1.0
2011-08-31,LB,0.2,0.7
2011-08-31,LB,0.3,0.9
2011-09-07,BB,0.1,0.4
2011-09-07,BB,0.1,0.5
2011-09-07,BB,0.1,0.4
2011-09-07,BB,0.2,0.8
2011-09-07,BO,0.0,0.2
2011-09-07,BO,0.1,0.3
2011-09-07,BO,0.1,0.4
2011-09-07,HT,0.1,0.3
2011-09-07,HT,0.2,0.8
2011-09-07,HT,0.2,0.8
2011-09-07,LB,0.1,0.2
2011-09-07,LB,0.0,0.1
2011-09-13,BB,0.4,1.4
2011-09-13,BB,0.4,1.3
2011-09-13,BB,0.3,1.0
2011-09-13,BB,0.3,1.1
2011-09-13,BO,0.2,0.9
2011-09-13,BO,0.0,0.0
2011-09-13,BO,0.3,0.9
2011-09-13,BO,0.2,0.9
2011-09-13,HT,0.3,1.0
2011-09-13,HT,0.4,1.3
2011-09-13,HT,0.3,1.0
2011-09-13,LB,0.3,1.0
2011-09-13,LB,0.3,1.1
2011-09-13,LB,0.2,0.8
2011-09-20,LB,0.1,0.3
2011-09-20,LB,0.2,0.8
2011-09-20,LB,0.0,0.2
2011-09-20,LB,0.2,0.8
2011-09-20,HT,0.3,1.0
2011-09-20,HT,0.1,0.4
2011-09-20,HT,0.0,0.1
2011-09-20,HT,0.0,0.2
2011-09-20,HT,0.2,0.5
2011-09-20,BO,0.3,0.9
2011-09-20,BO,0.1,0.2
2011-09-20,BO,0.1,0.3
2011-09-27,LB,0.4,1.3
2011-09-27,LB,0.3,0.9
2011-09-27,LB,0.3,1.1
2011-10-26,LB,0.3,1.1
2011-10-26,LB,0.3,1.1
2011-10-26,LB,0.4,1.4
2011-11-30,LB,0.1,0.6
2011-11-30,LB,0.1,0.3
2011-11-30,LB,0.1,0.5
2012-01-04,LB,1.0,0.3
2012-01-04,LB,1.3,0.4
2012-01-04,LB,2.2,0.6
2012-01-04,LB,1.4,0.4
2012-01-04,LB,1.4,0.4
2012-01-04,LB,1.7,0.5
2012-01-04,LB,1.8,0.5
2012-04-25,LB,0.2,0.7
2012-04-25,LB,0.2,0.7
2012-04-25,LB,0.2,0.9
2012-05-08,LB,0.2,0.7
2012-05-08,LB,0.0,0.2
2012-05-08,HT,0.0,0.1
2012-05-08,HT,0.0,0.0
2012-05-08,BO,0.1,0.3
2012-05-08,BO,0.0,0.1
2012-05-08,BO,0.1,0.3
2012-05-08,BO,0.1,0.6
2012-05-08,BB,0.1,0.6
2012-05-08,BB,0.1,0.5
2012-05-08,BB,0.1,0.4
2012-05-15,LB,0.1,0.3
2012-05-15,LB,0.1,0.3
2012-05-15,LB,0.1,0.3
2012-05-15,HT,0.1,0.3
2012-05-15,HT,0.0,0.1
2012-05-15,BO,0.0,0.1
2012-05-15,BO,0.1,0.4
2012-05-15,BB,0.1,0.5
2012-05-15,BB,0.1,0.3
2012-05-15,BB,0.2,0.7
2012-05-22,HT,0.0,0.2
2012-05-22,HT,0.0,0.1
2012-06-05,LB,0.1,0.3
2012-06-05,LB,0.1,0.5
2012-06-05,LB,0.1,0.5
2012-06-05,LB,0.2,0.8
2012-06-05,LB,0.3,1.1
2012-06-05,LB,0.1,0.3
2012-06-05,HT,0.4,1.8
2012-06-05,HT,0.1,0.3
2012-06-05,HT,0.2,0.8
2012-06-05,HT,0.2,0.7
2012-06-05,HT,0.2,1.0
2012-06-05,HT,0.1,0.6
2012-06-05,HT,0.1,0.6
2012-06-05,HT,0.2,1.0
2012-06-05,BO,0.0,0.2
2012-06-05,BO,0.0,0.2
2012-06-05,BO,0.0,0.0
2012-06-05,BB,0.1,0.5
2012-06-05,BB,0.3,1.4
2012-06-05,BB,0.2,0.9
2012-06-12,LB,0.2,0.6
2012-06-12,LB,0.2,0.7
2012-06-12,LB,0.2,0.6
2012-06-12,LB,0.3,0.9
2012-06-18,HT,0.8,2.7
2012-06-18,HT,0.6,2.0
2012-06-18,HT,0.6,2.3
2012-06-18,LB,0.0,0.2
2012-06-18,LB,0.1,0.3
2012-06-18,LB,0.1,0.5
2012-06-18,BO,0.5,1.8
2012-06-18,BO,0.6,2.3
2012-06-18,BO,0.5,1.9
2012-06-18,BB,0.3,1.0
2012-06-18,BB,0.4,1.3
2012-06-18,BB,0.4,1.4
2012-06-21,LB,0.1,0.3
2012-06-21,LB,0.3,0.9
2012-06-21,LB,0.1,0.3
2012-06-21,LB,0.2,0.7
2012-06-21,LB,0.1,0.3
2012-06-26,LB,0.3,1.2
2012-06-26,LB,0.3,1.3
2012-06-26,LB,0.2,0.8
2012-06-26,HT,0.2,0.6
2012-06-26,HT,0.4,1.5
2012-06-26,HT,0.3,1.4
2012-06-26,BO,0.3,1.3
2012-06-26,BO,0.2,1.0
2012-06-26,BO,0.2,1.0
2012-06-26,BO,0.3,1.4
2012-06-26,BO,0.3,1.2
2012-06-26,BO,0.2,0.8
2012-06-26,BB,0.2,0.7
2012-06-26,BB,0.3,1.3
2012-06-26,BB,0.3,1.1
2012-07-02,LB,0.1,0.3
2012-07-02,LB,0.0,0.1
2012-07-02,HT,0.1,0.4
2012-07-02,HT,0.0,0.0
2012-07-02,BO,0.1,0.3
2012-07-05,PK,0.0,0.1
2012-07-05,PK,0.1,0.2
2012-07-05,PK,0.1,0.3
2012-07-09,LB,0.1,0.2
2012-07-09,LB,0.1,0.3
2012-07-09,HT,0.1,0.6
2012-07-09,HT,0.1,0.3
2012-07-09,HT,0.1,0.3
2012-07-09,BO,0.1,0.5
2012-07-09,BO,0.1,0.5
2012-07-09,BO,0.1,0.5
2012-07-09,BB,0.1,0.4
2012-07-09,BB,0.1,0.3
2012-07-09,BB,0.1,0.6
2012-07-12,LB,0.1,0.5
2012-07-12,LB,0.1,0.3
2012-07-12,LB,0.1,0.4
2012-07-12,HT,0.2,0.7
2012-07-12,HT,0.1,0.5
2012-07-12,HT,0.1,0.3
2012-07-12,PK,0.1,0.2
2012-07-12,PK,0.1,0.5
2012-07-12,PK,0.1,0.6
2012-07-12,PK,0.0,0.1
2012-07-17,LB,0.2,1.0
2012-07-17,LB,0.2,0.8
2012-07-17,LB,0.6,2.5
2012-07-17,HT,0.0,0.1
2012-07-17,HT,0.1,0.3
2012-07-17,HT,0.2,0.8
2012-07-17,BO,0.1,0.6
2012-07-17,BO,0.1,0.5
2012-07-17,BO,0.1,0.3
2012-07-17,BB,0.3,1.1
2012-07-17,BB,0.1,0.5
2012-07-17,BB,0.2,0.8
2012-07-17,PK,0.3,1.1
2012-07-17,PK,0.1,0.3
2012-07-17,PK,0.2,1.0
2012-07-17,PK,0.2,1.0
2012-07-17,PK,0.2,0.7
2012-07-24,LB,0.1,0.4
2012-07-24,HT,0.0,0.1
2012-07-24,HT,0.0,0.2
2012-07-24,HT,0.2,0.7
2012-07-24,HT,0.2,0.7
2012-07-24,BO,0.3,1.2
2012-07-24,BO,0.1,0.4
2012-07-24,BO,0.1,0.6
2012-07-24,BO,0.1,0.6
2012-07-24,BB,0.1,0.5
2012-07-24,BB,0.2,0.7
