datetime,chl_calibrated
2011-01-20,5.872682065286327
2011-01-27,11.797938967710508
2011-01-28,12.530118688781695
2011-01-30,17.207266214807674
2011-02-01,10.835748929198825
2011-02-07,10.425196349583649
2011-02-09,13.584280723516583
2011-02-10,9.40006301245225
2011-02-12,14.286088962280779
2011-02-14,14.774312519786774
2011-02-20,18.20632012143838
2011-03-02,12.260609359272399
2011-03-07,12.04876590247272
2011-03-22,16.369157754477875
2011-03-31,14.519934881154345
2011-04-02,12.409187084379194
2011-04-03,9.198184249426797
2011-04-05,13.953415404813516
2011-04-11,17.991072590577218
2011-04-12,15.828186671356239
2011-04-13,16.53214913374304
2011-04-18,15.249296428206943
2011-04-19,16.575835670162988
2011-04-21,19.202935568518907
2011-04-25,17.305047710241162
2011-04-26,15.845064639662898
2011-04-27,11.419888301972797
2011-04-28,15.920962768785241
2011-04-30,16.279599080701843
2011-05-01,14.241690298882762
2011-05-03,13.294509931408875
2011-05-04,12.02090940564696
2011-05-08,14.204664991226865
2011-05-09,16.22631000355066
2011-05-10,14.159293152327416
2011-05-12,15.935827961082794
2011-05-18,20.73041986370578
2011-05-19,14.262245619380828
2011-05-21,20.298629238573973
2011-05-22,18.46045657480465
2011-05-23,25.9867112615348
2011-06-07,17.456522019013427
2011-06-08,21.006065827445177
2011-06-09,17.42986773803832
2011-06-12,10.057737241410205
2011-06-13,18.753816038552042
2011-06-14,20.16088833434017
2011-06-15,21.15696521665551
2011-06-16,18.006923358318783
2011-06-17,25.895491798267475
2011-06-19,21.428324096131245
2011-06-20,25.066887036625808
2011-06-22,25.91395529079641
2011-06-23,20.69215417782605
2011-06-24,27.881692818469453
2011-06-26,31.565355250725496
2011-06-30,36.94098357328193
2011-07-01,29.81706417211163
2011-07-02,25.12661172009859
2011-07-03,36.44958960236006
2011-07-04,35.02572226511893
2011-07-05,41.325284015267314
2011-07-06,43.708176268663195
2011-07-07,30.21952132797227
2011-07-08,34.22011741220453
2011-07-09,58.946898876456515
2011-07-10,42.66126944460509
2011-07-14,88.24139941937241
2011-07-20,97.69653250622133
2011-07-21,106.8613648591919
2011-07-22,222.76545840654126
2011-07-23,65.30692133144872
2011-07-24,83.30293517982874
2011-07-26,76.25240372963705
2011-07-27,52.32455084754446
2011-07-28,66.12630798543323
2011-07-29,42.42665227987144
2011-07-30,58.159904847645386
