datetime,chl_calibrated
2011-01-06,156.80753707938993
2011-01-20,49.638636133397526
2011-01-22,38.8753615242246
2011-01-25,26.782379329044208
2011-01-27,59.29904419913604
2011-01-30,51.202722251326335
2011-02-01,40.44186352844053
2011-02-02,42.87678132927831
2011-02-09,47.57242445555525
2011-02-10,49.96876462754385
2011-02-21,88.33975892107259
2011-04-12,133.77426460351896
2011-04-19,454.53395908556723
2011-04-22,154.9989187455265
2011-05-01,141.5786475553836
2011-05-04,260.90477389808353
2011-05-10,70.68271786515717
2011-05-19,69.14186515685692
2011-05-20,417.29009323432194
2011-05-24,430.0810649512308
2011-06-09,51.524574026274756
2011-06-14,253.6956249346186
2011-06-16,72.93600697228922
2011-06-17,226.24044175265277
2011-06-20,68.52520262520311
2011-06-25,116.13956010629097
2011-07-01,169.51076477009957
2011-07-02,171.56708711507838
2011-07-03,314.0711016204063
2011-07-04,46.053255972612774
2011-07-05,918.2920024526383
2011-07-08,235.13938314448535
2011-07-09,976.9522794411837
2011-07-10,886.5725093476957
2011-07-15,261.7332897601688
2011-07-20,23.932818131511986
2011-07-22,166.43800856069748
2011-07-23,733.4384715189918
2011-07-24,518.2516709524682
2011-07-27,211.22033094173855
2011-07-28,847.0353232654238
2011-07-29,90.10278924463547
2011-07-30,723.6894141127603
2011-07-31,149.2145537091763
2011-08-01,923.1323003846376
2011-08-03,708.7836716208404
2011-08-04,868.7586919189201
2011-08-05,149.83316600706587
2011-08-07,179.96154264351205
2011-08-08,904.4468406662038
2011-08-09,433.20403221958753
2011-08-10,437.0559165621008
2011-08-11,961.746927103948
2011-08-12,418.8189680629699
2011-08-14,83.06479483732502
2011-08-18,576.7339886511359
2011-08-19,307.25488427054455
2011-08-20,893.7520375184522
2011-08-21,118.097460950257
2011-08-22,246.5106162752939
2011-08-23,31.074597449332444
2011-08-24,457.6633485434805
2011-08-26,345.8014668863309
2011-08-27,775.8599430591496
2011-08-28,201.70465780565283
2011-09-01,292.7795897844517
2011-09-02,657.593312805818
2011-09-03,820.6907202560038
2011-09-04,147.99652284876427
2011-09-05,567.2096009761523
2011-09-08,156.317150641582
2011-09-11,96.4855315664976
2011-09-18,139.91777313166116
2011-09-19,456.4389650688968
2011-09-20,819.3719487753146
2011-09-23,471.52743272667755
2011-09-24,343.3544215067258
2011-09-29,713.7604564500896
2011-10-08,539.6864401406474
2011-10-16,51.28519688286175
2011-10-17,161.90222511139893
2011-10-18,173.27815187785322
2011-10-24,66.83874794949648
2011-10-25,126.69048294066873
2011-10-27,57.91655228728808
2011-10-29,69.29601623470185
2011-11-01,68.38992911486828
2011-11-02,22.446530721530593
2011-11-08,74.5072872002877
2011-11-11,18.233267474510765
2011-11-25,13.913603435688735
2011-11-29,21.456154493603563
2011-12-01,32.3474295549732
2011-12-02,18.992883303898815
2011-12-03,27.00350317675591
2011-12-04,11.250121349467731
2011-12-05,21.80793517023885
2011-12-06,28.623916289165642
2011-12-07,24.109467306360308
2011-12-08,30.21128573134409
2011-12-09,13.463161120656217
2011-12-10,43.15603897790689
2011-12-12,52.976716086814726
2011-12-13,11.14198032444725
2011-12-16,5.890999457161056
2011-12-17,32.572291818490676
2011-12-21,22.901775462950955
2011-12-22,39.832826566667514
2011-12-23,22.34241375946418
2012-01-08,31.99261013644445
2012-01-09,21.038011566078726
2012-01-10,29.8937153551573
2012-01-11,53.48406145508553
2012-01-12,37.427830589716024
2012-01-23,13.227405102189653
2012-01-27,51.839054519676026
2012-02-02,76.05100825550623
2012-02-03,59.914782035784334
2012-02-05,41.33216537272707
2012-02-06,83.43980032135352
2012-02-12,22.303629674467253
2012-02-24,203.07580440644065
2012-02-27,9.053592572427853
2012-03-04,18.66336735048692
