datetime,chl_calibrated
2011-01-06,17.72968272035629
2011-01-20,37.51550223922634
2011-01-22,67.60367615975535
2011-01-27,74.31452405917558
2011-02-01,31.84233637585659
2011-02-02,22.954729660894326
2011-02-10,76.3056018833249
2011-02-21,14.132209399100642
2011-04-01,117.86521182924426
2011-04-12,193.96960699379594
2011-04-19,137.30555342724756
2011-04-22,128.3653635637864
2011-04-23,142.83791718410632
2011-05-01,154.94864122597187
2011-05-04,224.98635838341812
2011-05-10,66.52200308228984
2011-05-12,178.54504118540612
2011-05-13,81.48293920899484
2011-05-19,91.68650003277801
2011-05-24,331.02659348872635
2011-06-03,410.8934575612733
2011-06-09,418.5809391581745
2011-06-16,260.74353483354076
2011-06-17,577.3255305869534
2011-06-20,272.2647070599876
2011-06-22,215.75756058846585
2011-06-25,96.5208416267812
2011-07-01,216.66650635551466
2011-07-02,338.6368021427681
2011-07-03,224.12312539881052
2011-07-04,948.735102127229
2011-07-05,506.983122513394
2011-07-06,141.45879723118756
2011-07-08,955.1806289609032
2011-07-09,353.8481062367054
2011-07-10,384.20804928497535
2011-07-22,101.09813472039575
2011-07-24,198.63120017511127
2011-07-26,338.8632576944694
2011-07-27,138.7916204627092
2011-07-28,745.8650445501806
2011-07-30,753.6942501211965
2011-07-31,656.8674050170201
2011-08-02,515.928139382811
2011-08-03,552.951255426799
2011-08-04,384.9231499081069
2011-08-05,47.19580234420834
2011-08-06,719.1956901844677
2011-08-07,106.17805133181967
2011-08-09,506.5873068446224
2011-08-10,652.1479021548012
2011-08-11,371.64298084535125
2011-08-12,746.4835380715282
2011-08-13,161.4396584291271
2011-08-14,97.24781104094804
2011-08-16,745.0422741747043
2011-08-18,528.3293249084295
2011-08-20,355.68872092713167
2011-08-21,368.0987037397125
2011-08-22,591.7736482428519
2011-08-23,698.316317204856
2011-08-25,225.90538341400355
2011-08-27,209.57764466894636
2011-08-29,344.4385328064325
2011-09-03,484.25465355453
2011-09-05,279.7777337179452
2011-09-06,479.1951830309281
2011-09-08,278.98390129389907
2011-09-10,228.17891754917667
2011-09-11,256.2494849867916
2011-09-12,222.53817901782526
2011-09-13,338.00612608634555
2011-09-19,64.68312922722107
2011-09-21,467.5510470632203
2011-09-24,193.53908592972004
2011-09-28,201.8034444699549
2011-09-29,311.6083946683605
2011-10-08,115.32898787713926
2011-10-14,258.16682026288794
2011-10-17,706.5670963080413
2011-10-18,263.1410661150793
2011-10-23,190.45797568276393
2011-10-24,88.92063636240155
2011-10-25,137.70105753530635
2011-10-26,67.78484995626275
2011-10-27,36.12965995343505
2011-11-01,40.97801456482434
2011-11-02,45.55015213347564
2011-11-29,30.846254513015428
