date,ndci,sensor
2019-07-05,-0.5669476337914172,Detroit_Landsat
2019-07-21,-0.5171741769464321,Detroit_Landsat
2019-08-06,-0.5309000779426836,Detroit_Landsat
2019-08-22,-0.5374958412743539,Detroit_Landsat
2019-09-07,-0.45589133441537044,Detroit_Landsat
2019-10-09,-0.28855876027493793,Detroit_Landsat
2019-10-25,-0.011579242774398993,Detroit_Landsat
2019-12-28,-0.1958493128490283,Detroit_Landsat
2020-03-01,-0.14768596126649677,Detroit_Landsat
2020-03-17,-0.20207106517428317,Detroit_Landsat
2020-05-04,-0.5782491262662286,Detroit_Landsat
2020-06-21,-0.2927209260486039,Detroit_Landsat
2020-07-23,-0.4906834352614255,Detroit_Landsat
2020-09-09,-0.4316534886273959,Detroit_Landsat
2020-10-27,-0.2730084885453243,Detroit_Landsat
2020-11-28,-0.0761694390318115,Detroit_Landsat
2020-12-14,-0.13746151726284772,Detroit_Landsat
2021-04-05,-0.39943081802476554,Detroit_Landsat
2021-04-21,-0.4182241034341683,Detroit_Landsat
2021-06-24,-0.3671030588094001,Detroit_Landsat
2021-07-10,-0.34599750468001994,Detroit_Landsat
2021-07-26,-0.2854677678709131,Detroit_Landsat
2021-08-11,-0.5772708910168244,Detroit_Landsat
2021-08-27,-0.17513507349090116,Detroit_Landsat
2021-09-12,-0.5927070657543393,Detroit_Landsat
2021-09-28,-0.12569589854125154,Detroit_Landsat
2021-10-30,-0.2274477489178694,Detroit_Landsat
2021-12-01,-0.06942811921704817,Detroit_Landsat
2022-02-19,-0.10742704772179962,Detroit_Landsat
2022-03-07,0.02366514711360556,Detroit_Landsat
2022-05-21,-0.4129440033972832,Detroit_Landsat
2022-06-07,-0.24443646041983658,Detroit_Landsat
2022-06-24,-0.3644975340946941,Detroit_Landsat
2022-07-11,-0.3809927197057038,Detroit_Landsat
2022-07-28,-0.5896998936830051,Detroit_Landsat
2022-08-14,-0.4445303130216362,Detroit_Landsat
2022-08-31,-0.4885317543996046,Detroit_Landsat
2022-10-04,-0.12897949168230868,Detroit_Landsat
2022-11-24,0.037707919206972244,Detroit_Landsat
2023-03-16,-0.4452052019561244,Detroit_Landsat
2023-04-29,-0.39490576176751013,Detroit_Landsat
2023-06-12,-0.3820265138319678,Detroit_Landsat
2023-07-04,-0.6743729272849518,Detroit_Landsat
2023-07-26,-0.32297980711294044,Detroit_Landsat
2023-09-13,-0.30557291913032875,Detroit_Landsat
2023-09-18,-0.30467065246820674,Detroit_Landsat
2011-01-27,-0.14283159835912884,Detroit_Landsat
2011-04-01,-0.3537149278374342,Detroit_Landsat
2011-05-19,-0.5231984207467332,Detroit_Landsat
2011-06-04,-0.12036346404245422,Detroit_Landsat
2011-06-20,-0.21213260922746102,Detroit_Landsat
2011-07-06,-0.487980125875617,Detroit_Landsat
2011-07-22,-0.2510828086441019,Detroit_Landsat
2011-08-07,-0.18323955747710619,Detroit_Landsat
2011-08-23,-0.31735479520648974,Detroit_Landsat
2011-09-08,-0.7087131003206718,Detroit_Landsat
2011-09-24,-0.6459499898764872,Detroit_Landsat
2011-10-26,-0.4670305550532547,Detroit_Landsat
2011-11-11,-0.33106405843686776,Detroit_Landsat
2011-12-13,-0.3053213980627598,Detroit_Landsat
