date,ndci,sensor
2018-05-28,0.007568780145852852,Detroit_S2
2018-07-07,-0.022389125877212156,Detroit_S2
2019-01-13,0.049430327820498214,Detroit_S2
2019-02-22,0.18282443590178057,Detroit_S2
2019-03-04,0.04157545320057261,Detroit_S2
2019-03-09,0.01865428430278563,Detroit_S2
2019-03-14,0.009672034167770842,Detroit_S2
2019-03-24,0.001747277785677406,Detroit_S2
2019-04-18,-0.16036269043129173,Detroit_S2
2019-04-28,-0.19936086501814215,Detroit_S2
2019-05-03,-0.08976793401945123,Detroit_S2
2019-05-08,-0.044105131500680954,Detroit_S2
2019-05-13,-0.027455191926664256,Detroit_S2
2019-05-23,-0.019730221484163524,Detroit_S2
2019-05-28,0.013138035304386,Detroit_S2
2019-06-02,0.004702489571250491,Detroit_S2
2019-06-12,-0.09073774537833323,Detroit_S2
2019-06-17,0.005527530075600609,Detroit_S2
2019-06-22,0.012119681131581917,Detroit_S2
2019-07-07,0.0494152536506287,Detroit_S2
2019-07-12,-0.005476876050796012,Detroit_S2
2019-07-22,0.0025173458485923395,Detroit_S2
2019-07-27,-0.006385366009976639,Detroit_S2
2019-08-01,-0.05597381561055025,Detroit_S2
2019-08-06,-0.005308638425765941,Detroit_S2
2019-08-16,-0.027535811408970164,Detroit_S2
2019-08-26,-0.0800839401070533,Detroit_S2
2019-08-31,-0.018910422272784434,Detroit_S2
2019-09-05,0.013721987839454173,Detroit_S2
2019-09-25,0.06048328615010743,Detroit_S2
2019-09-30,0.0048031570293270735,Detroit_S2
2019-10-05,0.23991017309370458,Detroit_S2
2019-10-25,-0.06638666695254675,Detroit_S2
2019-11-09,0.0043777719119197055,Detroit_S2
2019-11-24,-0.028810889744156475,Detroit_S2
2019-11-29,0.03299093536073489,Detroit_S2
2020-02-12,-0.18530868825997626,Detroit_S2
2020-02-17,-0.09076783319412865,Detroit_S2
2020-02-22,-0.1336797138453385,Detroit_S2
2020-02-27,-0.17082692272617656,Detroit_S2
2020-03-03,0.01779909169497996,Detroit_S2
2020-04-07,-0.011216781699573871,Detroit_S2
2020-04-12,-0.05887634632437003,Detroit_S2
2020-04-17,-0.1288661817515568,Detroit_S2
2020-05-07,0.0036697625232518798,Detroit_S2
2020-05-27,0.10774948293870783,Detroit_S2
2020-06-01,-0.004750794860544441,Detroit_S2
2020-06-11,0.06658942172619482,Detroit_S2
2020-06-21,-0.00998055218138647,Detroit_S2
2020-06-26,0.016336333901297732,Detroit_S2
2020-07-06,-0.01628344020083108,Detroit_S2
2020-07-11,0.008854839023265157,Detroit_S2
2020-07-16,-0.003268839855571637,Detroit_S2
2020-07-21,-0.025073737696303035,Detroit_S2
2020-07-26,-0.011038283215956133,Detroit_S2
2020-07-31,-0.003889025564344999,Detroit_S2
2020-08-05,-9.415719786925638e-05,Detroit_S2
2020-08-10,-0.11210905984360287,Detroit_S2
2020-08-15,0.03949195237475295,Detroit_S2
2020-08-20,-0.025004066937543045,Detroit_S2
2020-08-25,0.006290864209747354,Detroit_S2
2020-08-30,-0.039024390546488104,Detroit_S2
2020-09-04,0.027125229018761576,Detroit_S2
2020-09-29,-0.05744089884348739,Detroit_S2
2020-10-04,-0.03137761620983782,Detroit_S2
2020-10-09,-0.02685161289721858,Detroit_S2
2020-10-19,-0.030582610397442114,Detroit_S2
2020-10-24,0.02395714271607267,Detroit_S2
2020-11-08,-0.06244606535128293,Detroit_S2
2020-12-08,0.1502490826169976,Detroit_S2
2020-12-13,0.013291064235534297,Detroit_S2
2020-12-23,-0.29460371596916063,Detroit_S2
2020-12-28,-0.3062157750931241,Detroit_S2
2021-01-17,-0.26876602306190656,Detroit_S2
2021-03-03,-0.04961874986572781,Detroit_S2
2021-03-08,0.02286229316962072,Detroit_S2
2021-03-23,-0.10392603794230378,Detroit_S2
2021-04-07,-0.01755448929520739,Detroit_S2
2021-04-17,-0.1777611785237399,Detroit_S2
2021-04-22,-0.0420125264938318,Detroit_S2
2021-04-27,-0.15743496780308044,Detroit_S2
2021-05-12,-0.011159616329878243,Detroit_S2
2021-05-17,-0.009247615414677487,Detroit_S2
2021-05-22,0.00745063552967187,Detroit_S2
2021-06-01,-0.1604558886270724,Detroit_S2
2021-06-16,-0.14594294245123784,Detroit_S2
2021-06-21,-0.0432115526065756,Detroit_S2
2021-06-26,-0.10622199378430353,Detroit_S2
2021-07-01,-0.03166632510332773,Detroit_S2
2021-07-06,-0.1257243007475262,Detroit_S2
2021-07-11,-0.022812635070722346,Detroit_S2
2021-07-16,-0.08311103657200278,Detroit_S2
2021-07-21,-0.013336302813816509,Detroit_S2
2021-07-26,-0.01038868997351922,Detroit_S2
2021-08-05,0.02727386983145405,Detroit_S2
2021-08-10,-0.07464936704678433,Detroit_S2
2021-08-15,-0.00135346174238661,Detroit_S2
2021-08-25,-0.019801193893440767,Detroit_S2
