datetime,sensor,band1_red,band2_nir,band4_green,green_red_ratio,nir_red_ratio,ndci
2011-01-03,Aqua,0.12000000000000001,0.335,0.129,1.0674772036474165,2.4948328267477207,0.427726561141068
2011-01-06,Aqua,0.032600000000000004,0.1222,0.0412,1.263803680981595,3.7484662576687113,0.578811369509044
2011-01-20,Aqua,0.0415,0.1252,0.0557,1.342168674698795,4.003472222222221,0.6002775850104094
2011-01-22,Aqua,0.0332,0.1247,0.043000000000000003,1.2951807228915664,3.287671232876713,0.5335463258785943
2011-01-27,Aqua,0.029400000000000003,0.0974,0.043300000000000005,1.41156462585034,3.353293413173653,0.5405777166437414
2011-01-30,Aqua,0.0434,0.1607,0.054200000000000005,1.3045267489711934,3.5781990521327014,0.5631469979296067
2011-02-01,Aqua,0.0499,0.0782,0.055900000000000005,1.1610738255033557,2.25,0.38461538461538464
2011-02-02,Aqua,0.07830000000000001,0.28190000000000004,0.0892,1.1392081736909323,3.6002554278416348,0.5652415324819544
2011-02-09,Aqua,0.0304,0.13720000000000002,0.0402,1.3223684210526316,3.608552631578948,0.5660242683797289
2011-02-10,Aqua,0.0495,0.08460000000000001,0.0589,1.1995926680244398,1.4242424242424243,0.17500000000000002
2011-04-08,Aqua,0.028,0.0413,0.0446,1.5928571428571427,1.475,0.19191919191919196
2011-04-12,Aqua,0.0172,0.0985,0.0291,1.6918604651162792,5.412087912087912,0.6880891173950301
2011-04-22,Aqua,0.0264,0.1038,0.0408,1.5454545454545456,4.576219512195122,0.6413340623291417
2011-05-01,Aqua,0.0317,0.1003,0.0427,1.359621451104101,3.182370820668693,0.5218023255813954
2011-05-04,Aqua,0.031200000000000002,0.14120000000000002,0.0455,1.4583333333333333,4.8522336769759455,0.6582501467997652
2011-05-10,Aqua,0.038900000000000004,0.0956,0.0504,1.293010752688172,2.4575835475578405,0.4215613382899628
2011-05-19,Aqua,0.032100000000000004,0.0906,0.040100000000000004,1.249221183800623,3.3680297397769516,0.5421276595744682
2011-05-20,Aqua,0.029,0.13520000000000001,0.042100000000000005,1.4517241379310346,4.662068965517242,0.6467722289890379
2011-05-24,Aqua,0.0246,0.1409,0.0361,1.4409090909090907,4.858620689655172,0.6586227192466156
2011-06-03,Aqua,0.018000000000000002,0.1343,0.0253,1.4055555555555554,7.46111111111111,0.7636244254760342
2011-06-09,Aqua,0.0252,0.1264,0.038400000000000004,1.5298245614035086,4.870175438596491,0.6592946802151823
2011-06-14,Aqua,0.027100000000000003,0.17500000000000002,0.0443,1.6346863468634685,6.4575645756457565,0.7318159327065809
2011-06-16,Aqua,0.0332,0.1729,0.047400000000000005,1.4763092269326683,5.4353312302839125,0.6892156862745098
2011-06-17,Aqua,0.013900000000000001,0.10360000000000001,0.0238,1.8026315789473684,8.288,0.7846683893195522
2011-06-20,Aqua,0.0332,0.12490000000000001,0.042100000000000005,1.2680722891566267,3.7620481927710845,0.5800126502213788
2011-06-25,Aqua,0.0302,0.2209,0.0483,1.602941176470588,6.233516483516484,0.7235093049753133
2011-07-01,Aqua,0.0162,0.1228,0.0303,1.8703703703703705,7.921052631578948,0.7758112094395281
2011-07-02,Aqua,0.027700000000000002,0.1426,0.0476,1.7184115523465704,5.148014440433212,0.6746917204932472
2011-07-03,Aqua,0.013800000000000002,0.14,0.028300000000000002,2.1278195488721803,10.471014492753623,0.8256475047378394
2011-07-04,Aqua,0.0472,0.10930000000000001,0.061700000000000005,1.3368644067796611,2.315677966101695,0.3968051118210863
2011-07-05,Aqua,0.0268,0.2159,0.0478,1.7800829875518673,7.8509090909090915,0.7740345110928513
2011-07-06,Aqua,0.035500000000000004,0.18780000000000002,0.049600000000000005,1.3971830985915492,5.290140845070423,0.6820420958351993
2011-07-08,Aqua,0.0181,0.093,0.031,1.7127071823204418,5.590361445783133,0.696526508226691
2011-07-09,Aqua,0.029400000000000003,0.2119,0.048400000000000006,1.800925925925926,7.207482993197279,0.756319933692499
2011-07-10,Aqua,0.0114,0.1482,0.024300000000000002,2.110169491525424,13.35135135135135,0.8606403013182674
2011-07-15,Aqua,0.0244,0.1242,0.037200000000000004,1.5060728744939273,5.0283400809716605,0.6682337139019476
2011-07-22,Aqua,0.0407,0.1325,0.052700000000000004,1.2948402948402948,3.958230958230959,0.5966303270564915
2011-07-23,Aqua,0.0262,0.2131,0.0446,1.8137931034482757,8.530927835051546,0.7901568415359654
2011-07-24,Aqua,0.015600000000000001,0.10310000000000001,0.028900000000000002,1.8525641025641026,6.6089743589743595,0.7371524852569503
2011-07-27,Aqua,0.025,0.149,0.0397,1.6147186147186146,5.721254355400697,0.7024364955935718
2011-07-28,Aqua,0.026000000000000002,0.2121,0.044500000000000005,1.7884615384615383,8.55241935483871,0.7906289573659773
2011-07-29,Aqua,0.0431,0.1199,0.055,1.3014705882352942,2.938725490196078,0.492221530802738
2011-07-30,Aqua,0.0256,0.2388,0.0454,1.7734375,8.9438202247191,0.7988700564971751
2011-07-31,Aqua,0.0264,0.08950000000000001,0.0368,1.5148148148148148,3.3148148148148153,0.536480686695279
2011-08-01,Aqua,0.0233,0.1305,0.038,1.674342105263158,5.9537572254335265,0.7123857024106401
2011-08-02,Aqua,0.0148,0.10070000000000001,0.029300000000000003,2.060810810810811,6.0540540540540535,0.7164750957854407
2011-08-03,Aqua,0.0198,0.1364,0.0361,1.8404255319148934,6.888888888888888,0.7464788732394365
2011-08-04,Aqua,0.0114,0.1291,0.0256,2.1984126984126986,11.844036697247706,0.8442857142857144
2011-08-05,Aqua,0.0316,0.12760000000000002,0.048,1.5537974683544304,4.037974683544304,0.6030150753768845
