chl,date,sensor
38.034636159052894,2011-01-06,Terra
49.95556868386814,2011-01-20,Terra
46.4218370103515,2011-01-22,Terra
63.822930247975336,2011-01-27,Terra
45.5772404404335,2011-02-01,Terra
37.75228622920782,2011-02-02,Terra
45.26400220650709,2011-02-10,Terra
32.39961216930425,2011-02-21,Terra
85.10794135148745,2011-04-01,Terra
71.18521318763631,2011-04-12,Terra
105.12206886915696,2011-04-19,Terra
91.08901515017781,2011-04-22,Terra
80.0042368182344,2011-04-23,Terra
73.53385767186278,2011-05-01,Terra
95.05963101816786,2011-05-04,Terra
61.597516282807554,2011-05-10,Terra
53.80240866359019,2011-05-12,Terra
65.1795915516714,2011-05-13,Terra
69.4432977669756,2011-05-19,Terra
100.7057305158975,2011-05-20,Terra
101.12510972636038,2011-05-24,Terra
81.69221686100421,2011-06-03,Terra
81.66453755463839,2011-06-09,Terra
124.47354498814484,2011-06-14,Terra
80.35726083754577,2011-06-16,Terra
86.58386618553818,2011-06-17,Terra
75.49188535604658,2011-06-20,Terra
79.12279945317269,2011-06-22,Terra
76.83919293312005,2011-06-25,Terra
97.16513068348584,2011-07-01,Terra
88.53780413528108,2011-07-02,Terra
94.90825559102808,2011-07-03,Terra
92.16837490803692,2011-07-04,Terra
98.73922182760036,2011-07-05,Terra
89.16874560190129,2011-07-06,Terra
92.075917381805,2011-07-08,Terra
90.2479912986924,2011-07-09,Terra
94.71709541406926,2011-07-10,Terra
92.42834096576274,2011-07-15,Terra
62.455991024981266,2011-07-22,Terra
125.71868298520405,2011-07-23,Terra
97.52172170227531,2011-07-24,Terra
72.75621335701544,2011-07-26,Terra
73.8583250457207,2011-07-27,Terra
97.804992519847,2011-07-28,Terra
94.06162851768472,2011-07-29,Terra
98.54680291050009,2011-07-30,Terra
109.28061134287331,2011-07-31,Terra
132.88839259759996,2011-08-01,Terra
98.21136123358819,2011-08-02,Terra
113.53504821606505,2011-08-03,Terra
90.65077790680111,2011-08-04,Terra
57.66920410872033,2011-08-05,Terra
93.44095395424266,2011-08-06,Terra
70.6410256827844,2011-08-07,Terra
109.31591238668713,2011-08-09,Terra
121.63636634274025,2011-08-10,Terra
91.2857487500108,2011-08-11,Terra
109.72465957622465,2011-08-12,Terra
109.67912344783517,2011-08-13,Terra
79.18993089561656,2011-08-14,Terra
108.46325612388016,2011-08-16,Terra
143.589512751514,2011-08-17,Terra
95.23549124309923,2011-08-18,Terra
108.1756756264339,2011-08-19,Terra
96.73647998521986,2011-08-20,Terra
93.89191043564328,2011-08-21,Terra
91.76800164660476,2011-08-22,Terra
104.85050272080754,2011-08-23,Terra
102.15206148978619,2011-08-25,Terra
119.39729792216663,2011-08-26,Terra
81.51034231185089,2011-08-27,Terra
101.71294481226056,2011-08-29,Terra
86.82409550988528,2011-09-01,Terra
124.08888401363161,2011-09-02,Terra
93.83014780907362,2011-09-03,Terra
105.95367329115595,2011-09-04,Terra
80.24701679581024,2011-09-05,Terra
113.95220486031558,2011-09-06,Terra
82.63097445306632,2011-09-08,Terra
128.6204565959621,2011-09-09,Terra
72.30952462367074,2011-09-10,Terra
86.15634784529354,2011-09-11,Terra
64.71665025264578,2011-09-12,Terra
103.6881639260495,2011-09-13,Terra
66.87931961771022,2011-09-19,Terra
102.07960112937181,2011-09-20,Terra
81.39307248850653,2011-09-21,Terra
88.27106111933689,2011-09-23,Terra
104.02976298886404,2011-09-24,Terra
72.24797539398591,2011-09-28,Terra
90.81762280910989,2011-09-29,Terra
68.70446971209178,2011-10-08,Terra
79.90879987202914,2011-10-14,Terra
80.02911474333162,2011-10-17,Terra
77.66421765456704,2011-10-18,Terra
65.3230938198823,2011-10-23,Terra
47.946207076652534,2011-10-24,Terra
59.03414596739053,2011-10-25,Terra
49.602642535513944,2011-10-26,Terra
48.648189339050035,2011-10-27,Terra
41.77750242409508,2011-11-01,Terra
40.75289298551034,2011-11-02,Terra
29.608505661863216,2011-11-29,Terra
36.4211704122573,2011-12-01,Terra
38.15239614815223,2011-12-02,Terra
43.71447353049889,2011-12-03,Terra
32.37320484091752,2011-12-04,Terra
41.74667634192624,2011-12-05,Terra
34.673685045253166,2011-12-06,Terra
40.42827952407985,2011-12-07,Terra
30.314322817035237,2011-12-08,Terra
35.2369380189774,2011-12-09,Terra
34.86252108419465,2011-12-10,Terra
33.35692414356867,2011-12-12,Terra
35.57841421724034,2011-12-13,Terra
39.298682317170424,2011-12-16,Terra
30.90545844708497,2011-12-17,Terra
41.24346173420505,2011-12-21,Terra
28.589239553485182,2011-12-22,Terra
32.398509854898194,2011-12-23,Terra
37.71909062595464,2012-01-03,Terra
37.56089011365575,2012-01-04,Terra
