date,log_ratio,ratio,sensor
2011-01-06,0.02363486243024962,1.0559293523969722,Terra
2011-01-20,0.09328465132599421,1.2396088019559903,Terra
2011-01-22,0.07454254259521712,1.1872509960159363,Terra
2011-01-27,0.15586867041695657,1.4317548746518105,Terra
2011-02-01,0.06985178027402048,1.1744966442953022,Terra
2011-02-02,0.02173132768758881,1.0513112884834663,Terra
2011-02-10,0.06808997134334574,1.169741697416974,Terra
2011-02-21,-0.017329522567990807,0.9608829281922325,Terra
2011-04-01,0.22939416801974824,1.6958762886597938,Terra
2011-04-12,0.1837587000082169,1.5267175572519083,Terra
2011-04-19,0.2833493526419781,1.9202127659574468,Terra
2011-04-22,0.2467447097238414,1.7650000000000001,Terra
2011-04-23,0.21359587453980233,1.6352941176470588,Terra
2011-05-01,0.1920513824494083,1.5561497326203209,Terra
2011-05-04,0.25764477894823806,1.8098591549295775,Terra
2011-05-10,0.1468018829536937,1.4021739130434783,Terra
2011-05-12,0.11223630523443896,1.29490022172949,Terra
2011-05-13,0.16124213801676215,1.449579831932773,Terra
2011-05-19,0.17742960982794345,1.5046296296296295,Terra
2011-05-20,0.27238481421445115,1.872340425531915,Terra
2011-05-24,0.27344647403189265,1.876923076923077,Terra
2011-06-03,0.21892981268172254,1.6555023923444974,Terra
2011-06-09,0.21884323947663112,1.6551724137931034,Terra
2011-06-14,0.3265159166866802,2.120879120879121,Terra
2011-06-16,0.21472066141181226,1.6395348837209305,Terra
2011-06-17,0.23378645543630577,1.7131147540983607,Terra
2011-06-20,0.19876486570715426,1.580392156862745,Terra
2011-06-22,0.2107656733444987,1.6246719160104988,Terra
2011-06-25,0.20328399686958346,1.596923076923077,Terra
2011-07-01,0.26324143477458145,1.8333333333333335,Terra
2011-07-02,0.23948749802907146,1.7357512953367875,Terra
2011-07-03,0.2572376418585371,1.8081632653061224,Terra
2011-07-04,0.24975407657366053,1.7772727272727271,Terra
2011-07-05,0.2673468824614087,1.8507462686567167,Terra
2011-07-06,0.24130156303854966,1.7430167597765365,Terra
2011-07-08,0.2494976791548763,1.7762237762237765,Terra
2011-07-09,0.24437502608463432,1.7553956834532374,Terra
2011-07-10,0.25672257149853883,1.806020066889632,Terra
2011-07-15,0.2504736222215373,1.7802197802197801,Terra
2011-07-22,0.15033770820463124,1.4136363636363636,Terra
2011-07-23,0.32905871926422475,2.1333333333333333,Terra
2011-07-24,0.26417727056022394,1.8372881355932205,Terra
2011-07-26,0.1893353457938608,1.5464480874316942,Terra
2011-07-27,0.1931761497204077,1.5601851851851851,Terra
2011-07-28,0.2649182495290967,1.8404255319148934,Terra
2011-07-29,0.2549485256165148,1.7986577181208054,Terra
2011-07-30,0.26684855253650464,1.8486238532110093,Terra
2011-07-31,0.2932606564090687,1.9645390070921986,Terra
2011-08-01,0.3432276754584361,2.2040816326530615,Terra
2011-08-02,0.26597748853677516,1.8449197860962567,Terra
2011-08-03,0.30301761689949464,2.0091743119266052,Terra
2011-08-04,0.24551266781414982,1.76,Terra
2011-08-05,0.12994588610481272,1.348833445907914,Terra
2011-08-06,0.2532572138679805,1.7916666666666667,Terra
2011-08-07,0.18179823318707863,1.5198412698412698,Terra
2011-08-09,0.29334316699769025,1.9649122807017545,Terra
2011-08-10,0.32062555172736196,2.0923076923076924,Terra
2011-08-11,0.2472958718288358,1.7672413793103448,Terra
2011-08-12,0.29429661300501275,1.9692307692307691,Terra
2011-08-13,0.2941905711336757,1.9687499999999998,Terra
2011-08-14,0.2109823317544165,1.6254826254826256,Terra
2011-08-16,0.29134272826084945,1.9558823529411764,Terra
2011-08-17,0.3630133657630443,2.306818181818182,Terra
2011-08-18,0.2581169566534223,1.8118279569892473,Terra
2011-08-19,0.29066448019214747,1.9528301886792452,Terra
