datetime,sensor,band1_red,band2_nir,band4_green,green_red_ratio,nir_red_ratio,ndci
2011-01-06,Terra,0.2378,0.24960000000000002,0.2511,1.0559293523969722,1.0496215306980656,0.024210094378334025
2011-01-20,Terra,0.0393,0.0611,0.0507,1.2396088019559903,1.4823943661971832,0.1943262411347518
2011-01-22,Terra,0.0502,0.2023,0.0596,1.1872509960159363,2.9532846715328467,0.4940915805022156
2011-01-27,Terra,0.0286,0.0661,0.042800000000000005,1.4317548746518105,1.6362275449101797,0.2413401476433845
2011-02-01,Terra,0.051300000000000005,0.0723,0.0636,1.1744966442953022,1.4373040752351096,0.1794212218649517
2011-02-02,Terra,0.0786,0.15460000000000002,0.0816,1.0513112884834663,2.819371727748691,0.4763536668951337
2011-02-10,Terra,0.0361,0.0824,0.054700000000000006,1.169741697416974,1.7547169811320755,0.273972602739726
2011-02-21,Terra,0.3579,0.4253,0.34390000000000004,0.9608829281922325,1.1883207599888237,0.08605720122574056
2011-04-01,Terra,0.018600000000000002,0.0388,0.0335,1.6958762886597938,2.2133333333333334,0.37759336099585067
2011-04-12,Terra,0.0262,0.1216,0.0417,1.5267175572519083,3.5976331360946743,0.5649935649935649
2011-04-19,Terra,0.0173,0.0318,0.033800000000000004,1.9202127659574468,1.697841726618705,0.25866666666666666
2011-04-22,Terra,0.0184,0.0589,0.030000000000000002,1.7650000000000001,3.485207100591716,0.5540897097625329
2011-04-23,Terra,0.025500000000000002,0.0891,0.0417,1.6352941176470588,3.2913669064748197,0.5339480301760268
2011-05-01,Terra,0.0187,0.0779,0.0291,1.5561497326203209,4.636363636363636,0.6451612903225807
2011-05-04,Terra,0.014700000000000001,0.06280000000000001,0.0257,1.8098591549295775,4.422535211267606,0.6311688311688312
2011-05-10,Terra,0.027600000000000003,0.0702,0.038700000000000005,1.4021739130434783,2.029891304347826,0.3399103139013453
2011-05-12,Terra,0.0451,0.2786,0.0584,1.29490022172949,6.177383592017739,0.7213469261662033
2011-05-13,Terra,0.0238,0.06810000000000001,0.0345,1.449579831932773,2.861344537815126,0.4820457018498368
2011-05-19,Terra,0.0222,0.06420000000000001,0.0334,1.5046296296296295,2.9722222222222223,0.4965034965034965
2011-05-20,Terra,0.0094,0.114,0.0176,1.872340425531915,12.127659574468085,0.8476499189627228
2011-05-24,Terra,0.013000000000000001,0.063,0.024300000000000002,1.876923076923077,4.846153846153846,0.6578947368421053
2011-06-03,Terra,0.020900000000000002,0.13670000000000002,0.0346,1.6555023923444974,6.54066985645933,0.7347715736040609
2011-06-09,Terra,0.017400000000000002,0.1148,0.028800000000000003,1.6551724137931034,4.31924882629108,0.6240070609002648
2011-06-14,Terra,0.0091,0.0858,0.0193,2.120879120879121,9.428571428571429,0.8082191780821918
2011-06-16,Terra,0.0172,0.0906,0.028200000000000003,1.6395348837209305,4.848837209302325,0.6580516898608351
2011-06-17,Terra,0.023,0.1685,0.0391,1.7131147540983607,7.1358490566037736,0.75417439703154
2011-06-20,Terra,0.0264,0.1461,0.0426,1.580392156862745,5.387234042553192,0.686875416389074
2011-06-22,Terra,0.033600000000000005,0.17700000000000002,0.0516,1.6246719160104988,5.175438596491229,0.6761363636363636
2011-06-25,Terra,0.0325,0.10010000000000001,0.0487,1.596923076923077,3.08,0.5098039215686275
2011-07-01,Terra,0.0228,0.0869,0.0415,1.8333333333333335,3.8281938325991187,0.5857664233576643
2011-07-02,Terra,0.0193,0.1072,0.0335,1.7357512953367875,5.55440414507772,0.6948616600790514
2011-07-03,Terra,0.0234,0.09390000000000001,0.042100000000000005,1.8081632653061224,4.047413793103448,0.6037574722459437
2011-07-04,Terra,0.022000000000000002,0.1948,0.037200000000000004,1.7772727272727271,9.281818181818181,0.8054818744473917
2011-07-05,Terra,0.0201,0.1247,0.037200000000000004,1.8507462686567167,6.203980099502488,0.7223756906077348
2011-07-06,Terra,0.024800000000000003,0.0857,0.040600000000000004,1.7430167597765365,3.25,0.5294117647058824
2011-07-08,Terra,0.0223,0.19240000000000002,0.0388,1.7762237762237765,8.35064935064935,0.7861111111111111
2011-07-09,Terra,0.013900000000000001,0.0738,0.0252,1.7553956834532374,5.3478260869565215,0.684931506849315
2011-07-10,Terra,0.0182,0.10790000000000001,0.0316,1.806020066889632,5.928571428571429,0.7113402061855669
2011-07-15,Terra,0.018500000000000003,0.1628,0.0324,1.7802197802197801,8.474789915966387,0.7889135254988913
2011-07-22,Terra,0.0239,0.0609,0.038700000000000005,1.4136363636363636,2.768181818181818,0.46924004825090476
2011-07-23,Terra,0.009000000000000001,0.0936,0.0193,2.1333333333333333,10.399999999999999,0.824561403508772
2011-07-24,Terra,0.016800000000000002,0.0699,0.0285,1.8372881355932205,4.160714285714286,0.6124567474048443
2011-07-26,Terra,0.0366,0.2399,0.056600000000000004,1.5464480874316942,6.554644808743169,0.7352622061482821
2011-07-27,Terra,0.0216,0.0824,0.0337,1.5601851851851851,3.2313725490196075,0.5273401297497683
2011-07-28,Terra,0.0188,0.13920000000000002,0.0346,1.8404255319148934,6.9253731343283595,0.7476459510357815
2011-07-29,Terra,0.015000000000000001,0.18230000000000002,0.0274,1.7986577181208054,12.234899328859061,0.8488843813387424
2011-07-30,Terra,0.0212,0.15960000000000002,0.0386,1.8486238532110093,11.05020920502092,0.8340277777777778
2011-07-31,Terra,0.014100000000000001,0.0911,0.027700000000000002,1.9645390070921986,6.9541984732824424,0.7485604606525912
2011-08-01,Terra,0.009300000000000001,0.1041,0.0216,2.2040816326530615,10.622448979591837,0.8279192273924495
2011-08-02,Terra,0.0187,0.11750000000000001,0.0345,1.8449197860962567,5.994897959183674,0.7140773158278629
2011-08-03,Terra,0.0109,0.0585,0.0229,2.0091743119266052,5.373737373737374,0.6862123613312203
2011-08-04,Terra,0.0221,0.1315,0.0383,1.76,5.844444444444444,0.7077922077922078
2011-08-05,Terra,0.0367,0.07390000000000001,0.048600000000000004,1.348833445907914,1.7936893203883497,0.28410078192875765
2011-08-06,Terra,0.0222,0.1704,0.0391,1.7916666666666667,7.675675675675675,0.7694704049844237
2011-08-07,Terra,0.0252,0.08170000000000001,0.0383,1.5198412698412698,3.1302681992337167,0.515769944341373
2011-08-09,Terra,0.0171,0.09720000000000001,0.033600000000000005,1.9649122807017545,6.032967032967033,0.7156250000000001
2011-08-10,Terra,0.0119,0.0653,0.0261,2.0923076923076924,5.023076923076922,0.6679438058748404
2011-08-11,Terra,0.020300000000000002,0.11560000000000001,0.0358,1.7672413793103448,5.694581280788177,0.7012509197939661
2011-08-12,Terra,0.0134,0.0918,0.0263,1.9692307692307691,6.75,0.7419354838709677
2011-08-13,Terra,0.019200000000000002,0.043300000000000005,0.0378,1.9687499999999998,2.4463276836158196,0.41967213114754104
2011-08-14,Terra,0.025400000000000002,0.0614,0.0412,1.6254826254826256,2.694980694980695,0.4587251828631138
2011-08-16,Terra,0.013600000000000001,0.0935,0.026600000000000002,1.9558823529411764,6.874999999999999,0.746031746031746
2011-08-17,Terra,0.0095,0.08080000000000001,0.020300000000000002,2.306818181818182,9.181818181818182,0.8035714285714286
2011-08-18,Terra,0.018600000000000002,0.1211,0.0337,1.8118279569892473,6.510752688172042,0.733715103793844
2011-08-19,Terra,0.0106,0.0869,0.0224,1.9528301886792452,7.116279069767442,0.7535816618911175
2011-08-20,Terra,0.018500000000000003,0.09680000000000001,0.0339,1.8285714285714285,5.232432432432432,0.6790980052038161
2011-08-21,Terra,0.0129,0.06620000000000001,0.024200000000000003,1.796747967479675,5.1,0.6721311475409836
2011-08-22,Terra,0.0221,0.1564,0.039,1.7727272727272725,6.231075697211156,0.7234159779614324
2011-08-23,Terra,0.013300000000000001,0.09670000000000001,0.024300000000000002,1.9172932330827068,7.2706766917293235,0.7581818181818181
2011-08-25,Terra,0.0143,0.0536,0.026600000000000002,1.8881118881118881,3.9703703703703703,0.5976154992548435
2011-08-26,Terra,0.0112,0.0941,0.0233,2.0695652173913044,7.468253968253968,0.7638238050609185
2011-08-27,Terra,0.0216,0.1003,0.035300000000000005,1.6533333333333333,4.713541666666667,0.6499544211485869
2011-08-29,Terra,0.0195,0.0952,0.0368,1.883333333333333,5.088888888888889,0.6715328467153284
2011-09-01,Terra,0.0173,0.1647,0.029400000000000003,1.7159090909090908,9.796791443850267,0.814759782070332
2011-09-02,Terra,0.0097,0.09230000000000001,0.0199,2.117021276595745,9.741573033707866,0.813807531380753
2011-09-03,Terra,0.0152,0.09190000000000001,0.028200000000000003,1.7960526315789476,6.046052631578948,0.7161531279178337
2011-09-04,Terra,0.0112,0.10450000000000001,0.0224,1.9291338582677164,9.766355140186915,0.8142361111111112
2011-09-05,Terra,0.0238,0.1326,0.0386,1.6382113821138211,5.437735849056604,0.6893317702227433
2011-09-06,Terra,0.013900000000000001,0.0772,0.027200000000000002,2.0135135135135136,6.988372093023256,0.7496360989810772
