datetime,date,chlorophyll_ugL,sensor
2011-06-17,2011-06-17,22.480189570334474,MODIS-Terra
2011-06-19,2011-06-19,23.461502885706153,MODIS-Aqua
2011-06-19,2011-06-19,22.62345309600561,MODIS-Terra
2011-06-20,2011-06-20,16.571096741827645,MODIS-Terra
2011-06-20,2011-06-20,26.324098474063117,MODIS-Aqua
2011-06-21,2011-06-21,29.52145472911438,MODIS-Terra
2011-06-22,2011-06-22,26.482099929422777,MODIS-Aqua
2011-06-22,2011-06-22,23.581541767168837,MODIS-Terra
2011-06-23,2011-06-23,26.021286011465286,MODIS-Terra
2011-06-23,2011-06-23,22.563613325812955,MODIS-Aqua
2011-06-24,2011-06-24,25.6924925922916,MODIS-Terra
2011-06-24,2011-06-24,31.895497974709397,MODIS-Aqua
2011-06-26,2011-06-26,29.362206961397995,MODIS-Terra
2011-06-26,2011-06-26,35.04785932973287,MODIS-Aqua
2011-06-30,2011-06-30,38.14886878998903,MODIS-Aqua
2011-06-30,2011-06-30,45.911056120404936,MODIS-Terra
2011-07-01,2011-07-01,33.21324947058661,MODIS-Aqua
2011-07-01,2011-07-01,26.83658673474549,MODIS-Terra
2011-07-02,2011-07-02,32.412185564094635,MODIS-Terra
2011-07-02,2011-07-02,26.324098474063142,MODIS-Aqua
2011-07-03,2011-07-03,39.116352897197444,MODIS-Aqua
2011-07-03,2011-07-03,20.858583429721694,MODIS-Terra
2011-07-04,2011-07-04,38.983788053144295,MODIS-Aqua
2011-07-04,2011-07-04,41.92520072934265,MODIS-Terra
2011-07-05,2011-07-05,41.916055242125694,MODIS-Aqua
2011-07-05,2011-07-05,34.59249227617063,MODIS-Terra
2011-07-06,2011-07-06,33.950091820399756,MODIS-Terra
2011-07-06,2011-07-06,43.86391976849479,MODIS-Aqua
2011-07-07,2011-07-07,34.4104706504706,MODIS-Aqua
2011-07-07,2011-07-07,46.43631340544401,MODIS-Terra
2011-07-08,2011-07-08,24.321691627727372,MODIS-Terra
2011-07-08,2011-07-08,32.638472053363216,MODIS-Aqua
2011-07-09,2011-07-09,50.4209265247167,MODIS-Aqua
2011-07-09,2011-07-09,60.31700063930725,MODIS-Terra
2011-07-10,2011-07-10,50.52622710712934,MODIS-Terra
2011-07-10,2011-07-10,32.85945077735508,MODIS-Aqua
2011-07-13,2011-07-13,35.06158849515878,MODIS-Terra
2011-07-14,2011-07-14,62.73061655406311,MODIS-Terra
2011-07-14,2011-07-14,87.88980997497934,MODIS-Aqua
2011-07-15,2011-07-15,65.90583369413122,MODIS-Terra
2011-07-20,2011-07-20,90.63138767911745,MODIS-Aqua
2011-07-20,2011-07-20,160.50596007116053,MODIS-Terra
2011-07-21,2011-07-21,130.83276740897773,MODIS-Terra
2011-07-21,2011-07-21,99.2497066563669,MODIS-Aqua
2011-07-22,2011-07-22,115.93724332935209,MODIS-Aqua
2011-07-22,2011-07-22,93.79977887144854,MODIS-Terra
2011-07-23,2011-07-23,64.08065040268698,MODIS-Aqua
2011-07-23,2011-07-23,95.33306697069423,MODIS-Terra
2011-07-24,2011-07-24,42.21263959325586,MODIS-Terra
2011-07-24,2011-07-24,64.95120366931107,MODIS-Aqua
2011-07-26,2011-07-26,49.30166782657139,MODIS-Terra
2011-07-26,2011-07-26,82.30743664576573,MODIS-Aqua
2011-07-27,2011-07-27,52.69981920152542,MODIS-Aqua
2011-07-27,2011-07-27,106.7798596385237,MODIS-Terra
2011-07-28,2011-07-28,55.53929221357133,MODIS-Aqua
2011-07-28,2011-07-28,47.3035051112124,MODIS-Terra
2011-07-29,2011-07-29,50.118538759035204,MODIS-Terra
2011-07-29,2011-07-29,44.898901529376644,MODIS-Aqua
2011-07-30,2011-07-30,45.74430477316673,MODIS-Terra
2011-07-30,2011-07-30,53.20191421963375,MODIS-Aqua
2011-07-31,2011-07-31,40.021514371782054,MODIS-Aqua
2011-07-31,2011-07-31,33.0828333341918,MODIS-Terra
2011-08-01,2011-08-01,37.6557713314665,MODIS-Terra
2011-08-01,2011-08-01,45.60863462994426,MODIS-Aqua
2011-08-02,2011-08-02,38.66765943136133,MODIS-Terra
2011-08-02,2011-08-02,51.420066091459205,MODIS-Aqua
2011-08-03,2011-08-03,73.15704633553206,MODIS-Terra
2011-08-03,2011-08-03,46.72174163169776,MODIS-Aqua
2011-08-04,2011-08-04,397.65104984561754,MODIS-Aqua
2011-08-04,2011-08-04,40.538015754292225,MODIS-Terra
2011-08-05,2011-08-05,116.06609573698837,MODIS-Terra
2011-08-05,2011-08-05,44.13465684112352,MODIS-Aqua
2011-08-06,2011-08-06,40.602782880489706,MODIS-Aqua
2011-08-06,2011-08-06,73.51039048180178,MODIS-Terra
2011-08-07,2011-08-07,49.45910592988261,MODIS-Terra
2011-08-07,2011-08-07,33.03337093122038,MODIS-Aqua
2011-08-08,2011-08-08,36.5012197983271,MODIS-Terra
2011-08-08,2011-08-08,35.183171671605095,MODIS-Aqua
2011-08-09,2011-08-09,26.48860981201464,MODIS-Terra
2011-08-09,2011-08-09,34.76660016403926,MODIS-Aqua
2011-08-10,2011-08-10,86.92670994730254,MODIS-Terra
2011-08-10,2011-08-10,42.68283920436623,MODIS-Aqua
2011-08-11,2011-08-11,69.58648135798336,MODIS-Terra
2011-08-11,2011-08-11,64.98973841888336,MODIS-Aqua
2011-08-12,2011-08-12,42.71089027026469,MODIS-Aqua
2011-08-12,2011-08-12,45.00911323910874,MODIS-Terra
2011-08-13,2011-08-13,53.290681912363546,MODIS-Aqua
2011-08-13,2011-08-13,68.38233704796625,MODIS-Terra
2011-08-14,2011-08-14,52.065730442189476,MODIS-Terra
2011-08-15,2011-08-15,52.85166971481384,MODIS-Aqua
2011-08-15,2011-08-15,78.37602431164359,MODIS-Terra
2011-08-16,2011-08-16,51.59596534903234,MODIS-Terra
2011-08-16,2011-08-16,64.04378422413767,MODIS-Aqua
2011-08-17,2011-08-17,63.88044075409571,MODIS-Terra
2011-08-17,2011-08-17,44.449648396093856,MODIS-Aqua
2011-08-18,2011-08-18,77.80125341881156,MODIS-Aqua
2011-08-18,2011-08-18,56.486113242985795,MODIS-Terra
2011-08-19,2011-08-19,54.566784318970186,MODIS-Terra
2011-08-19,2011-08-19,46.22408539128378,MODIS-Aqua
