system:index,chl,date,sensor,.geo
2011_08_16_0,117.36598011525108,2011-08-16,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_08_17_0,126.32146401502794,2011-08-17,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_08_18_0,148.30285580917467,2011-08-18,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_08_19_0,117.14511098628562,2011-08-19,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_08_20_0,122.88299246459755,2011-08-20,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_08_21_0,115.71189721063654,2011-08-21,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_08_22_0,97.98023106004638,2011-08-22,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_08_23_0,160.04293700556025,2011-08-23,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_08_25_0,122.30832027232071,2011-08-25,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_08_26_0,105.9011651674416,2011-08-26,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_08_27_0,105.1515759520229,2011-08-27,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_08_28_0,73.93285634041882,2011-08-28,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_08_29_0,113.28583951466972,2011-08-29,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_09_01_0,127.70145493802052,2011-09-01,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_09_02_0,107.08053477557348,2011-09-02,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_09_03_0,111.85832539802847,2011-09-03,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_09_04_0,97.89117479501614,2011-09-04,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_09_05_0,101.83068014304882,2011-09-05,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_09_06_0,113.72713501253035,2011-09-06,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_09_08_0,101.14983238079019,2011-09-08,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_09_09_0,98.12186311127552,2011-09-09,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_09_10_0,81.97101595520093,2011-09-10,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_09_11_0,77.15106809126029,2011-09-11,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_09_13_0,131.5288725636368,2011-09-13,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_09_20_0,117.98384268355116,2011-09-20,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_09_21_0,113.99766753890009,2011-09-21,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_09_23_0,93.63145534631128,2011-09-23,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_09_24_0,108.03998302417125,2011-09-24,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_09_28_0,71.36032326565459,2011-09-28,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_09_29_0,129.92141568314494,2011-09-29,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_10_08_0,123.05886355015951,2011-10-08,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_10_14_0,108.45098762688716,2011-10-14,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_10_17_0,135.03956367486902,2011-10-17,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_10_18_0,58.62049147812757,2011-10-18,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_10_23_0,67.89841529640226,2011-10-23,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_10_25_0,60.721628385919004,2011-10-25,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_10_26_0,66.32271515803397,2011-10-26,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_10_27_0,48.57593628175321,2011-10-27,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_11_01_0,53.533969589979,2011-11-01,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_11_02_0,91.89707589141615,2011-11-02,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_11_08_0,44.605755752847806,2011-11-08,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_11_20_0,34.673685045253166,2011-11-20,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_11_29_0,49.02606026394722,2011-11-29,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_12_01_0,51.84768833599871,2011-12-01,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_12_02_0,50.377899611837236,2011-12-02,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_12_03_0,47.18074865804321,2011-12-03,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_12_04_0,57.65200592226059,2011-12-04,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_12_06_0,69.5208616101913,2011-12-06,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_12_07_0,43.09029401053171,2011-12-07,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_12_08_0,37.35420547889333,2011-12-08,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_12_09_0,48.88283491358965,2011-12-09,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_12_10_0,33.79524724783779,2011-12-10,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_12_12_0,31.011847032994904,2011-12-12,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_12_13_0,58.86309324962322,2011-12-13,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_12_16_0,44.603055680217864,2011-12-16,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_12_17_0,28.309966632720744,2011-12-17,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_12_21_0,35.03277686253759,2011-12-21,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
