system:index,date,ndci,.geo
LC08_045029_20160227,2016-02-27,0.09762877071658524,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20160314,2016-03-14,-0.0340657994245613,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20160330,2016-03-30,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20160415,2016-04-15,0.3403630077787381,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20160501,2016-05-01,0.4088269454123072,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20160517,2016-05-17,0.8956422018348656,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20160602,2016-06-02,1.4095980814807577E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20160618,2016-06-18,0.23699731561597373,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20160704,2016-07-04,-0.07248764415156576,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20160720,2016-07-20,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20160805,2016-08-05,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20160821,2016-08-21,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20160922,2016-09-22,-0.0169771511318542,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20161008,2016-10-08,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20161024,2016-10-24,0.6248748748748756,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20161109,2016-11-09,0.07850536195805702,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20161125,2016-11-25,-0.025607700646463533,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20161227,2016-12-27,-0.018457662483362128,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20170112,2017-01-12,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20170128,2017-01-28,0.11289399488074382,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20170213,2017-02-13,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20170301,2017-03-01,0.03894517218386345,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20170402,2017-04-02,0.05194621302642391,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20170418,2017-04-18,-0.0030999108622468486,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20170504,2017-05-04,0.10412716678856036,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20170520,2017-05-20,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20170605,2017-06-05,-0.3347895733216838,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20170621,2017-06-21,0.4238263950398595,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20170707,2017-07-07,0.30623608017817344,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20170723,2017-07-23,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20170808,2017-08-08,0.05173572228443427,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20170824,2017-08-24,0.5504828797190511,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20170909,2017-09-09,0.8753315649867379,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20170925,2017-09-25,0.05163137432435464,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20171011,2017-10-11,0.16241296837629549,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20171027,2017-10-27,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20171112,2017-11-12,0.05894621325245613,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20171214,2017-12-14,0.049030012310566126,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20171230,2017-12-30,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20180115,2018-01-15,0.021568088229516724,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20180131,2018-01-31,0.2766141783447769,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20180216,2018-02-16,-0.02222527003836905,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20180304,2018-03-04,0.23478144049438274,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20180320,2018-03-20,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20180421,2018-04-21,,"{""type"":""MultiPoint"",""coordinates"":[]}"
