system:index,date,.geo
LC08_045030_20160821,2016-08-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20160906,2016-09-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20160922,2016-09-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20161008,2016-10-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20161024,2016-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20161109,2016-11-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20161125,2016-11-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20170112,2017-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20170128,2017-01-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20170213,2017-02-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20170301,2017-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20170402,2017-04-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20170418,2017-04-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20170504,2017-05-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20170520,2017-05-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20170605,2017-06-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20170621,2017-06-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20170707,2017-07-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20170723,2017-07-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20170808,2017-08-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20170824,2017-08-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20170909,2017-09-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20170925,2017-09-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20171011,2017-10-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20171027,2017-10-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20171112,2017-11-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20171214,2017-12-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20171230,2017-12-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20180115,2018-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20180131,2018-01-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20180216,2018-02-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20180320,2018-03-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20180421,2018-04-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20180507,2018-05-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20180523,2018-05-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20180608,2018-06-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20180624,2018-06-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20180710,2018-07-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20180726,2018-07-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20180811,2018-08-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20180827,2018-08-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20180912,2018-09-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20180928,2018-09-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20181014,2018-10-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20181030,2018-10-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20181115,2018-11-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20181217,2018-12-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20190102,2019-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20190203,2019-02-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20190219,2019-02-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20190307,2019-03-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20190424,2019-04-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20190510,2019-05-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20190526,2019-05-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20190611,2019-06-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20190627,2019-06-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20190713,2019-07-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20190729,2019-07-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20190814,2019-08-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20190830,2019-08-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20190915,2019-09-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20191001,2019-10-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20191017,2019-10-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20191102,2019-11-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20191118,2019-11-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20191204,2019-12-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20200105,2020-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20200222,2020-02-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20200309,2020-03-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20200325,2020-03-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20200410,2020-04-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20200426,2020-04-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20200528,2020-05-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20200629,2020-06-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20200715,2020-07-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20200731,2020-07-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20200816,2020-08-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20200901,2020-09-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20200917,2020-09-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20201003,2020-10-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20201019,2020-10-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20201120,2020-11-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20201206,2020-12-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20201222,2020-12-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20210123,2021-01-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20210208,2021-02-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20210224,2021-02-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20210312,2021-03-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20210328,2021-03-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20210413,2021-04-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20210429,2021-04-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20210515,2021-05-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20210531,2021-05-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20210616,2021-06-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20210702,2021-07-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20210718,2021-07-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20210803,2021-08-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20210819,2021-08-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20210904,2021-09-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20210920,2021-09-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20211006,2021-10-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20211107,2021-11-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20211123,2021-11-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20211209,2021-12-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20211225,2021-12-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20220126,2022-01-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20220211,2022-02-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20220227,2022-02-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20220315,2022-03-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20220331,2022-03-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20220416,2022-04-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20220502,2022-05-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20220518,2022-05-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20220603,2022-06-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20220619,2022-06-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20220705,2022-07-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20220721,2022-07-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20220806,2022-08-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20220822,2022-08-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20220907,2022-09-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20220923,2022-09-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20221009,2022-10-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20221025,2022-10-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20221110,2022-11-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20221126,2022-11-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20221212,2022-12-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20221228,2022-12-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20230129,2023-01-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20230214,2023-02-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
